error,unfairness
0.3278969654651096,0.15961062763678624
0.3414567259965896,0.09665074190018838
0.3551582732543549,0.018285821731884932
0.3569596479877041,0.006492221854780289
0.35624863520723105,0.008016160612684809
0.3569125018782582,0.007440740142013425
0.35572720710381167,0.01071201877777619
0.35686504108679473,0.007671266273052246
0.3566280068569212,0.007945545738864291
0.3680550437289999,0.004935205037013779
0.37445636152738104,0.004797283736778457
0.37573655540746764,0.002875472063202411
0.37668471480424925,0.0017475035904633506
0.3806191953108783,0.001027619458069684
0.3848857552553864,0.000419498304214172
0.47088980049272455,0.0
