error,unfairness
0.32732811028615727,0.07274119721735639
0.3403186897180236,0.03875931173469245
0.34216776125434956,0.030347287092334363
0.3406505668603197,0.031199669414842646
0.3422627053145634,0.029253659191807602
0.3434006853999121,0.0266244354637295
0.342404952825232,0.027125108468393465
0.3440643160594259,0.023827154750044998
0.3467192882432214,0.022773670186183415
0.3473830200505267,0.011840180363330722
0.3475252338452648,0.01027115735268822
0.34762004304175675,0.007863133953142244
0.3488054614412819,0.007477470146124166
0.34956409235422714,0.006189372027548812
0.34970633986489574,0.006024918590845707
0.3516028272381112,0.0029781525211518335
0.35089154473019435,0.003029867104894235
0.35278775113732264,0.002772295413871806
0.35506348653514974,0.001477372596714388
0.3552533297010039,0.0005561078152829691
0.47088980049272455,0.0
