accuracy,unfairness,accuracy_test,unfairness_test,epsilon
0.6726718897138427,0.22419712882734472,0.6711506605394031,0.22590576404105747,0.0
0.6726718897138427,0.22419712882734472,0.6711506605394031,0.22590576404105747,0.1
0.6726718897138427,0.22419712882734472,0.6711506605394031,0.22590576404105747,0.3
0.6726718897138427,0.22419712882734472,0.6711506605394031,0.22590576404105747,0.4
0.6726718897138427,0.22419712882734472,0.6711506605394031,0.22590576404105747,0.5
0.6726718897138427,0.22419712882734472,0.6711506605394031,0.22590576404105747,0.6
0.6726718897138427,0.22419712882734472,0.6711506605394031,0.22590576404105747,0.7
0.6655603346013895,0.1924421166461563,0.6576898657337878,0.19612293679230208,0.8
0.6267306527595197,0.09918637662063876,0.6165337194348769,0.11508448104336248,0.9
0.598852512022258,0.04778361749777353,0.587141199852514,0.0663336076896777,0.95
0.5985680170009208,0.047278574752211436,0.5880890671510922,0.07631233637817397,0.951
0.5972877894049037,0.04524616716590609,0.5861933325539358,0.06959240249218825,0.952
0.5963396075308351,0.04485907403638358,0.5854339595492684,0.07210843244857301,0.953
0.5952966838921355,0.0439203222476533,0.5873300538683598,0.0765692700014839,0.954
0.5952966838921355,0.0439203222476533,0.5873300538683598,0.0765692700014839,0.955
0.5952016724000606,0.042165562416772384,0.5799365090784823,0.06979284130658317,0.956
0.5938268828577085,0.04124081239947658,0.5799352500517101,0.07002832561038988,0.957
0.5926416442764791,0.04012665037552808,0.5816446486865653,0.06695903710566214,0.958
0.5921200700706944,0.03906849452557106,0.5867631320988875,0.06686699247021838,0.959
0.5915510800280201,0.037782412632683476,0.586004838260025,0.060813191910110545,0.96
0.5906029318698821,0.03754008470704977,0.590178871732151,0.0529265578774036,0.961
0.5899391438693593,0.036550119843211874,0.577091468295008,0.06133841115403264,0.962
0.5892281760434603,0.034817061375793115,0.5767107026268695,0.05733287754755684,0.963
0.5888962089920162,0.03338275604622819,0.5723501533314748,0.05780086709853545,0.964
0.588706545644458,0.03281790433154169,0.5725397267911905,0.05778966261674272,0.965
0.5880901510035378,0.03154176556499526,0.5729188737106218,0.061237028620726906,0.966
0.5872368682351092,0.030011480677960795,0.5806955223612148,0.053852247114312836,0.967
0.5876161949302255,0.02956883038580972,0.5797476550626366,0.055698966445581075,0.968
0.5870472610807687,0.029920103240836916,0.5765249062474707,0.05192770940076687,0.969
0.5870946432017277,0.02814311109033666,0.5750068796820058,0.04683638561588021,0.97
0.5841074230004009,0.027506974471824118,0.5706447116379039,0.04354663888222344,0.971
0.5858144830375716,0.026410250908681866,0.5702619674991232,0.04701912361017431,0.972
0.5856722355269031,0.026206102815193522,0.5696932471199763,0.04821963938732301,0.973
0.5862412930014382,0.024438426570796135,0.5746261140138673,0.042380516879391594,0.974
0.5856248871218744,0.02420783747928945,0.5702659244404076,0.04046081566557273,0.975
0.5828749146846476,0.022229780944290244,0.5744365405541517,0.036446407521001076,0.976
0.5828749146846476,0.02147114938223218,0.5734877739507361,0.0351398822085167,0.977
0.5814998554148515,0.018878525716301876,0.5702650251355702,0.03663603019587907,0.978
0.5812627987076909,0.018320659184163035,0.5676088383679416,0.037937131221805614,0.979
0.5805991680481769,0.01816196046453125,0.5693171578369921,0.041066758034642735,0.98
0.5793189854067339,0.0169799515761228,0.5683665926239018,0.038308469069779125,0.981
0.579650907503604,0.016504580449272166,0.5676102772556814,0.03808939328185745,0.982
0.5778020832174348,0.015017933744719264,0.5672287921436729,0.03273357598783562,0.983
0.57718560990601,0.014693963333326154,0.5683656933190644,0.03665949077135232,0.984
0.5766167322497708,0.013207904516076724,0.5691275843772764,0.037255689096338376,0.985
0.5756211345388127,0.01112698400801872,0.5679921220896247,0.038204821816823706,0.986
0.5746729863806748,0.011974119146985434,0.5655251490597768,0.03772013299220268,0.987
0.5731082637633206,0.010347728134210542,0.5702644855526678,0.03778438801017077,0.988
0.5734400397578252,0.00817683540020096,0.5691259656285691,0.025795658975020307,0.989
0.5725393186752201,0.00699659030600398,0.5761423419696575,0.031585093817883284,0.99
0.5732977023380087,0.0072378249124043946,0.578039695315521,0.029520723698403507,0.991
0.572254823653883,0.0062934182458234626,0.5715925789364821,0.03051314118411281,0.992
0.5723496553276621,0.0059495301362337775,0.5717821523961978,0.03468120841100357,0.993
0.5714488330972657,0.004458041074697927,0.5666591724596886,0.028717904616900464,0.994
0.5705479321963647,0.004228528843826057,0.5647634378625324,0.027848787334815144,0.995
0.569315210346385,0.002889425756870617,0.5677985916886248,0.023179810452845544,0.996
0.5698368182681003,0.0021432636455558985,0.5628671636824735,0.03559174448772919,0.997
0.5686514673004363,0.0006763065920902423,0.5679858269557633,0.030299754039671074,0.998
0.5678929038193519,0.0006058461641724022,0.5660909916634441,0.022396855021156604,0.999
0.5291101995072754,0.0,0.5291047420344074,0.0,1.0
