accuracy,unfairness,accuracy_test,unfairness_test,epsilon
0.672956317303319,0.22425042251765231,0.6715301671807693,0.22412372519687174,0.0
0.672956317303319,0.22425042251765231,0.6715301671807693,0.22412372519687174,0.1
0.672956317303319,0.22425042251765231,0.6715301671807693,0.22412372519687174,0.3
0.672956317303319,0.22425042251765231,0.6715301671807693,0.22412372519687174,0.4
0.672956317303319,0.22425042251765231,0.6715301671807693,0.22412372519687174,0.5
0.672956317303319,0.22425042251765231,0.6715301671807693,0.22412372519687174,0.6
0.672956317303319,0.22425042251765231,0.6715301671807693,0.22412372519687174,0.7
0.6656077391996356,0.1920336263159685,0.6584488790165202,0.195503934817501,0.8
0.6272520134310781,0.099149885992768,0.6282917704614334,0.1172421341511096,0.9
0.5932107916601623,0.0459381113729259,0.5814521974513701,0.07032893805487155,0.95
0.5925943857805985,0.04550934633188057,0.5801251832333606,0.07070947699264334,0.951
0.5921676544872364,0.04418820184506843,0.5803142171101737,0.0737841591897613,0.952
0.5921676544872364,0.04418820184506843,0.5803142171101737,0.0737841591897613,0.953
0.5911245060756669,0.04373393005744156,0.5799350701907425,0.06811838659604844,0.954
0.5907451906191943,0.041924448908339296,0.5810730505319388,0.06967719087175883,0.955
0.5907451906191943,0.041924448908339296,0.5810730505319388,0.06967719087175883,0.956
0.5905555272716361,0.04086103595146212,0.5778477836632283,0.07037122324911496,0.957
0.589085636328061,0.03918500263431109,0.5751937552272094,0.06506938481558737,0.958
0.5885640621222763,0.03835236229350877,0.5751937552272094,0.0676774542837841,0.959
0.5884692304484972,0.0375257912556583,0.5748146083077781,0.06502946175343864,0.96
0.5869996879028703,0.03570153670587056,0.5765223881939261,0.05488512332614237,0.961
0.5860987870019694,0.0351807661197613,0.5789868431702294,0.05157036587479289,0.962
0.5860987870019694,0.0351807661197613,0.5789868431702294,0.05157036587479289,0.963
0.5859565394913008,0.03510409090362804,0.5789868431702294,0.05320995504379383,0.964
0.585245324415245,0.03361459400219232,0.5714030054767665,0.05472086038423115,0.965
0.5833488145647425,0.03135837468024509,0.5710238585573352,0.05052992454134094,0.966
0.5826377455910521,0.030566831687041923,0.5755779382537298,0.04932495284233622,0.967
0.5822111042068379,0.029644440185581093,0.575767691574413,0.049228714973119626,0.968
0.5822111042068379,0.029644440185581093,0.575767691574413,0.049228714973119626,0.969
0.5818318337049391,0.027772684420787043,0.5698842594674317,0.046147040335675515,0.97
0.5816895861942706,0.027286479973108024,0.5700738329271473,0.04613583585388281,0.971
0.5809310339518297,0.025467228318071876,0.5695045729650979,0.04463982181283395,0.972
0.5808362022780506,0.025353788439212138,0.5719690279414013,0.04084523731236709,0.973
0.5794614014970547,0.024481530952860812,0.569694326285781,0.0382407531857826,0.974
0.5791769177143611,0.022602568459281196,0.5734893926994433,0.04455987139924471,0.975
0.5782286009765707,0.020925899710628887,0.5755747007563153,0.03827679356441914,0.976
0.577801880921852,0.02007337594106799,0.5736780668543215,0.033098873902120136,0.977
0.5770907445163006,0.018456187335131748,0.5695056521309029,0.027418796253499595,0.978
0.5770907445163006,0.018456187335131748,0.5695056521309029,0.027418796253499595,0.979
0.5763795069629578,0.017605881085029324,0.5706430928891967,0.029076852815066435,0.98
0.5761424277785101,0.017141488879740485,0.570453519429481,0.028107547483887108,0.981
0.5757157863942959,0.016768853787247878,0.5683662329019668,0.02585450862067875,0.982
0.5757157863942959,0.016530257467749054,0.5668496452242417,0.02588637416291172,0.983
0.5740088724594906,0.014494839213928284,0.5611611824060002,0.028873286449884683,0.984
0.5731081626155291,0.012853304714365854,0.5634391215590349,0.030214904999794023,0.985
0.5724444982400847,0.01081940486481372,0.5655264080865491,0.03161886985927647,0.986
0.5714487656654047,0.01003030239548181,0.566095128465696,0.03213818527121241,0.987
0.5713539339916257,0.009394892631009793,0.5672325692239899,0.03550333474283726,0.988
0.5706902696161812,0.008980525413221668,0.5666633092619405,0.03599838234208738,0.989
0.5704057745948441,0.008495213083795273,0.568559043859097,0.03359315358391745,0.99
0.5697894024312109,0.007367646528708372,0.5666645682887127,0.02985003461716957,0.991
0.5693626598992052,0.0060457007689378615,0.5672332886678597,0.03172744467875865,0.992
0.5693152440623156,0.0056932201519676595,0.5672332886678597,0.03172744467875865,0.993
0.5685567704903791,0.005507112975551514,0.5640074822162469,0.03078924916429195,0.994
0.567466296151068,0.003250511044178073,0.5634389416980674,0.02993975266391219,0.995
0.5666128110870566,0.0022366828811822004,0.565713823214655,0.033322615253203285,0.996
0.5660913605063504,0.001917995962913216,0.5643855499698732,0.029561463243463704,0.997
0.5652852912792286,0.0011903735692059935,0.564575123429589,0.029355239603084643,0.998
0.5644318961243651,0.0006439991472710737,0.5588839626968353,0.03109547351868745,0.999
0.5291101995072754,0.0,0.5291047420344074,0.0,1.0
