error,unfairness
0.3478086639028032,0.11847299152468599
0.3684835022527586,0.052009127665731784
0.3802415532793152,0.04944753152895152
0.38707141379713483,0.043031291466264575
0.38403410163943275,0.04859036076285176
0.3880142449886239,0.03164248284267883
0.4708952579655926,0.0
0.3362443231382142,0.1351686031767116
0.35653623748842145,0.11282104464883758
0.3986359344226913,0.01653147669008291
0.39939440812252136,0.01620373486898566
0.39977355504195267,0.015580892608336243
0.40110056925996207,0.015310011595143204
0.4016694695000764,0.0139307504162683
0.40489419678588445,0.013481794356219759
0.40717159635601674,0.01177694734997565
0.40811946365459495,0.008903760570489895
0.4073606302328301,0.010367297571828488
0.3533088122881013,0.11792848502593155
0.3288493394605969,0.1598912740174287
0.34761891058212,0.11910192234229605
