error,unfairness
0.36374182756729045,0.11205732006210464
0.4096328138349057,0.03838220479134029
0.42518449238738454,0.027285208853770872
0.4708952579655926,0.0
0.3362443231382142,0.1625820476835577
0.3974984936643975,0.0549547510972719
0.4399798555716432,0.026346547841432127
0.4437742025414355,0.02581803883533853
0.4498405532523361,0.02553557975852811
0.4515454553630044,0.02370107458824107
0.3288493394605969,0.1880170969827674
0.34572335584593117,0.16242852657716494
0.3631705891345989,0.11479599160165414
