Fold#,Training accuracy,Training Unfairness(1),Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,CPU running time (s)
0,0.5668563300142248,0.002416466624799718,0.43614366998577525,0.5507109004739337,0.019701213818860863,550887,337036,3,242.09657900000002
1,0.570886676149834,0.004991071472737085,0.432113323850166,0.581042654028436,0.050303943510085936,1743995,751925,3,246.27993
2,0.5637743006164059,0.00436391256550811,0.4392256993835941,0.5450236966824644,0.005402320997169169,1567183,748486,3,242.13888
3,0.5636406731452951,0.001022858294247364,0.4393593268547049,0.5901328273244781,0.032582293001967105,551309,336725,3,242.10409099999998
4,0.5721735008295805,0.003458246263598086,0.4308264991704195,0.5502846299810247,0.04170899199147787,1666845,763351,3,238.045068
Average,0.567466296151068,0.003250511044178073,0.435533703848932,0.5634389416980674,0.02993975266391219,,
