Fold#,Training accuracy,Training Unfairness(3),Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length
0,0.6114272166903746,0.0014954991228322,0.3925727833096254,0.595260663507109,0.02147742319513113,21374013,9127598,4
1,0.6161688003793266,0.004614913065617288,0.38783119962067336,0.609478672985782,0.07600067760514978,17512194,7607121,4
2,0.6062114746325272,0.00017954584606127977,0.3977885253674728,0.6161137440758294,0.02965151691873047,19634886,8623257,4
3,0.6041716046456507,2.753937320387756e-05,0.39982839535434933,0.6072106261859582,0.004794308691617677,23295341,9740339,4
4,0.6179189381369993,0.001243328718005532,0.38608106186300073,0.6148007590132827,0.048671096345514975,17568110,7744487,4
Average,0.6111796068969757,0.0015121652251440354,0.3928203931030243,0.6085728931535923,0.03611900455122881,,
