Fold#,Training accuracy,Training Unfairness(3),Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,CPU running time (s)
0,0.6114272166903746,0.0014954991228322,0.3925727833096254,0.595260663507109,0.02147742319513113,25457883,9631895,4,232.36192799999998
1,0.6161688003793266,0.004614913065617288,0.38783119962067336,0.609478672985782,0.07600067760514978,20611350,7999650,4,230.036439
2,0.6062114746325272,0.00017954584606127977,0.3977885253674728,0.6161137440758294,0.02965151691873047,23698608,9112166,4,224.228228
3,0.601564351742119,0.0028495151450352862,0.40243564825788103,0.610056925996205,0.0019331889885554898,25210690,9653418,4,223.466948
4,0.6179189381369993,0.001243328718005532,0.38608106186300073,0.6148007590132827,0.048671096345514975,20979193,8159302,4,227.383755
Average,0.6106581563162693,0.002076560379510317,0.39334184368373065,0.6091421531156416,0.03554678061061637,,
