Fold#,Training accuracy,Training Unfairness(1),Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length
0,0.6714082503556188,0.23178218228558345,0.3325917496443812,0.6777251184834123,0.19587301587301592,1105124,320667,4
1,0.6704599336178284,0.21224596802972456,0.3335400663821716,0.6815165876777252,0.27256679001676676,1124551,331594,4
2,0.6716453295400664,0.23501313926871875,0.3323546704599336,0.6767772511848341,0.1844940789376176,1168562,346631,4
3,0.6721972031287035,0.21863537737081107,0.33180279687129655,0.674573055028463,0.252147066862222,1124939,330037,4
4,0.6776487319269969,0.22550967934962995,0.3263512680730031,0.6527514231499051,0.21887804599669008,1136150,335311,4
Average,0.6726718897138427,0.22463726926089356,0.3313281102861573,0.672668687104868,0.22479179953726244,,
