Fold#,Training accuracy,Training Unfairness(5),Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,CPU running time (s)
0,0.5554765291607396,0.0005233647771611116,0.44752347083926036,0.5393364928909953,0.07972038905601986,1783306,813968,3,217.966029
1,0.5528686581318161,0.0005363942776475117,0.45013134186818393,0.5630331753554503,0.06324696998698362,987095,527420,3,226.18940999999998
2,0.5500237079184448,0.0002516598996286368,0.4529762920815552,0.5393364928909953,0.07474326944888265,1478260,724813,3,215.644859
3,0.5517895235837876,0.0008050822892148243,0.45121047641621237,0.5569259962049335,0.05803797510094243,1097877,580655,3,215.97762500000002
4,0.5638776961365253,0.0007775119778024031,0.43912230386347473,0.5351043643263758,0.09084127400085698,971109,517132,3,221.269098
Average,0.5548072229862626,0.0005788026442908975,0.44819277701373733,0.5467473043337501,0.07331797551873712,,
