accuracy,unfairness,accuracy_test,unfairness_test,epsilon,strategy
0.6718660115436602,0.1853211601727722,0.6698223872946214,0.186706887107774,0.0,BFS original
0.6718660115436602,0.1853211601727722,0.6698223872946214,0.186706887107774,0.1,BFS original
0.6718660115436602,0.1853211601727722,0.6698223872946214,0.186706887107774,0.3,BFS original
0.6718660115436602,0.1853211601727722,0.6698223872946214,0.186706887107774,0.4,BFS original
0.6718660115436602,0.1853211601727722,0.6698223872946214,0.186706887107774,0.5,BFS original
0.6718660115436602,0.1853211601727722,0.6698223872946214,0.186706887107774,0.6,BFS original
0.6636638359895305,0.1491301555532986,0.6559844240402171,0.16360123789021305,0.7,BFS original
0.6436088925092307,0.09798568336460986,0.6406210599206814,0.10320196300165074,0.8,BFS original
0.6093302768718495,0.044200880603748015,0.5958653560797502,0.07650165646788165,0.9,BFS original
0.5891332881764638,0.02263017798989353,0.5852487027527721,0.055199801732094635,0.95,BFS original
0.5885168822969,0.022121036911057344,0.5856278496722034,0.04088704730743522,0.951,BFS original
0.5885642981337895,0.01964313156785951,0.5863861435110659,0.049634664787187456,0.9520000000000001,BFS original
0.5882323872755629,0.020649813665040283,0.5903671861650943,0.03838220479134029,0.953,BFS original
0.5877109029789261,0.02125311032637092,0.5776585699254476,0.044242941365438264,0.9540000000000001,BFS original
0.5878531504895946,0.021202719869137597,0.5827770533377701,0.04112503046520044,0.955,BFS original
0.5873315425678794,0.020590795329468548,0.5782272903045945,0.05032589451150467,0.956,BFS original
0.5871893175344979,0.019871161330533002,0.5780378967058464,0.04915443914446571,0.9570000000000001,BFS original
0.5868573504830537,0.018699331957866026,0.5803129580834016,0.04410553654465245,0.958,BFS original
0.5861462927480068,0.017957760285906798,0.5812608253819798,0.04435430764845116,0.9590000000000001,BFS original
0.5875687678546925,0.018359529344605014,0.5806921050028329,0.0458595290350153,0.96,BFS original
0.5868101706576776,0.017677270313488775,0.5799338111639702,0.04364166150436437,0.961,BFS original
0.5868101706576776,0.017677270313488775,0.5799338111639702,0.04364166150436437,0.9620000000000001,BFS original
0.5863834506029588,0.017600746147450736,0.578795471100839,0.04274498409475799,0.963,BFS original
0.5839178270847037,0.01718851822242538,0.5732978407690855,0.053053378600493285,0.9640000000000001,BFS original
0.5843919404990251,0.01533364553666444,0.5770903891292032,0.05232513557192429,0.965,BFS original
0.5840127936222047,0.015308458572206637,0.5846771045981456,0.052949636620382316,0.966,BFS original
0.5815473386836021,0.013441898530170632,0.5731070082825975,0.057341884157892986,0.9670000000000001,BFS original
0.5821634973130091,0.013138522130944866,0.5721618388985314,0.04776348928445765,0.968,BFS original
0.5825901386972232,0.013440493731836015,0.5696950457296509,0.045765843010674434,0.9690000000000001,BFS original
0.5842022771514669,0.013021481347446951,0.5729177945448168,0.03680040739326353,0.97,BFS original
0.5815946983272741,0.012117439734926785,0.5750027428797541,0.04193558385878583,0.971,BFS original
0.5814524508166055,0.012626524644120108,0.5714008471451568,0.03999672398517131,0.972,BFS original
0.5819264967990657,0.012939737501989096,0.5714021061719291,0.03695243751029427,0.973,BFS original
0.5800299644712764,0.011618200044214605,0.5710222398086279,0.0360846529508552,0.9740000000000001,BFS original
