accuracy,unfairness,accuracy_test,unfairness_test,epsilon,strategy
0.6718660115436602,0.1589560338369104,0.6698223872946214,0.16046630706672785,0.0,BFS original
0.6718660115436602,0.1589560338369104,0.6698223872946214,0.16046630706672785,0.1,BFS original
0.6718660115436602,0.1589560338369104,0.6698223872946214,0.16046630706672785,0.3,BFS original
0.6718660115436602,0.1589560338369104,0.6698223872946214,0.16046630706672785,0.4,BFS original
0.6718660115436602,0.1589560338369104,0.6698223872946214,0.16046630706672785,0.5,BFS original
0.6718660115436602,0.1589560338369104,0.6698223872946214,0.16046630706672785,0.6,BFS original
0.6718660115436602,0.1589560338369104,0.6698223872946214,0.16046630706672785,0.7,BFS original
0.6718660115436602,0.1589560338369104,0.6698223872946214,0.16046630706672785,0.8,BFS original
0.6585433189579845,0.09664634156117098,0.6521913360971968,0.11847299152468599,0.9,BFS original
0.6319929003241338,0.048638981351351834,0.6315164977472414,0.052009127665731784,0.95,BFS original
0.6309498755376427,0.04149441886712801,0.6262075415703661,0.05613090770274818,0.951,BFS original
0.6304279866498402,0.04358427016567008,0.6218482513017437,0.05807190738573485,0.9520000000000001,BFS original
0.6302857391391716,0.04199920543603086,0.6178672086477153,0.061035986152483714,0.953,BFS original
0.6288162977413362,0.04298899333980978,0.6201393922497909,0.060931720065492224,0.9540000000000001,BFS original
0.6296221759115187,0.04210180485249592,0.6222266787773051,0.05609275803629003,0.955,BFS original
0.6289583541950654,0.039791803272597334,0.6163499015261202,0.05463963187881092,0.956,BFS original
0.6288161066843967,0.0396886454229606,0.6174873422844142,0.0560989029692712,0.9570000000000001,BFS original
0.628199700804833,0.037617084196469794,0.6163499015261202,0.052425315050003016,0.958,BFS original
0.6281524310703089,0.03569435501567427,0.6222261391944027,0.04884474444976107,0.9590000000000001,BFS original
0.625213345979055,0.033536888119620835,0.6186208261014237,0.05185536410127154,0.96,BFS original
0.6265883602942772,0.03492198928130471,0.6189996132989201,0.05693886584551936,0.961,BFS original
0.6238382417546849,0.033327186434478705,0.6176725990809105,0.06013736299040965,0.9620000000000001,BFS original
0.6233166675489002,0.030144686881067837,0.615776864483754,0.056528520433527775,0.963,BFS original
0.6231270491559161,0.029888060087294943,0.6161563711251203,0.054779804033648585,0.9640000000000001,BFS original
0.6224632386781063,0.02830479921887393,0.6169148448249503,0.04943975578150779,0.965,BFS original
0.6224632386781063,0.02830479921887393,0.6169148448249503,0.04943975578150779,0.966,BFS original
0.6224632386781063,0.02830479921887393,0.6169148448249503,0.04943975578150779,0.9670000000000001,BFS original
0.6207562685500835,0.027502989526148047,0.6167252713652346,0.04719256477027184,0.968,BFS original
0.6185282861484505,0.02672053421050201,0.6098954108474149,0.040776324707584896,0.9690000000000001,BFS original
0.6182438585589743,0.02526289138645268,0.6138802305817602,0.038889532254754715,0.97,BFS original
0.6183386902327535,0.02534850529190431,0.6123636429040351,0.04860666215834397,0.971,BFS original
0.6172481259842943,0.0248296359145439,0.6116053490651726,0.04829206126666656,0.972,BFS original
0.6167264731080052,0.01985857897880785,0.6080025540257381,0.053619482637113164,0.973,BFS original
0.6167264731080052,0.01985857897880785,0.6080025540257381,0.053619482637113164,0.9740000000000001,BFS original
0.6157312799882129,0.018693444403337273,0.6051562542154915,0.042710665112287376,0.975,BFS original
0.6161103706718157,0.016035597860748006,0.6110380675737654,0.05147511701115835,0.976,BFS original
0.6156362123029205,0.015923376621766204,0.6087631860571777,0.059136895240672914,0.977,BFS original
0.6154939647922519,0.014628097270603303,0.6106589206543341,0.03973980539200249,0.978,BFS original
0.6136451405060829,0.014785040602941094,0.6034488340512782,0.02452724828277965,0.9790000000000001,BFS original
