accuracy,unfairness,accuracy_test,unfairness_test,epsilon,strategy
0.6718660115436602,0.2239347537476119,0.6698223872946214,0.22440068392464216,0.0,BFS original
0.6718660115436602,0.2239347537476119,0.6698223872946214,0.22440068392464216,0.1,BFS original
0.6718660115436602,0.2239347537476119,0.6698223872946214,0.22440068392464216,0.3,BFS original
0.6718660115436602,0.2239347537476119,0.6698223872946214,0.22440068392464216,0.4,BFS original
0.6718660115436602,0.2239347537476119,0.6698223872946214,0.22440068392464216,0.5,BFS original
0.6718660115436602,0.2239347537476119,0.6698223872946214,0.22440068392464216,0.6,BFS original
0.6718660115436602,0.2239347537476119,0.6698223872946214,0.22440068392464216,0.7,BFS original
0.666318808173326,0.19409870719132988,0.662430820975386,0.1970719508927898,0.8,BFS original
0.623079779421392,0.09793491193106113,0.6208994846983281,0.11361061966167392,0.9,BFS original
0.597382857090196,0.04911204303105783,0.5848655988920564,0.0640380934238305,0.95,BFS original
0.5952017735478521,0.045418524820500634,0.579935609773645,0.06836795406738523,0.951,BFS original
0.5949646943634045,0.04526409445561254,0.5805043301527919,0.06833807544927131,0.9520000000000001,BFS original
0.5945853676682884,0.043763097580191535,0.5801251832333605,0.07208524968566662,0.953,BFS original
0.595059537275827,0.04340842133850167,0.5825903576535338,0.06304471724479127,0.9540000000000001,BFS original
0.5937321860476512,0.040669985999035055,0.5789868431702294,0.06505612696636674,0.955,BFS original
0.5937321860476512,0.040669985999035055,0.5789868431702294,0.06505612696636674,0.956,BFS original
0.5937321860476512,0.040669985999035055,0.5789868431702294,0.06505612696636674,0.9570000000000001,BFS original
0.5930209484943083,0.03933292439187912,0.5774702554925042,0.059297014732461184,0.958,BFS original
0.5920254182152112,0.0399777768945793,0.5772790632840814,0.0626621842209181,0.9590000000000001,BFS original
0.590365863924078,0.03831040624878016,0.5761416225257875,0.06024224382347789,0.96,BFS original
0.5891331757900289,0.03521521987507807,0.5732989199348903,0.06014003595844077,0.961,BFS original
0.588137443215349,0.03541899148522204,0.5727301995557434,0.06317541412091057,0.9620000000000001,BFS original
0.5877106669674128,0.03576325954069888,0.5719688480804338,0.05737807157789891,0.963,BFS original
0.5879951507501064,0.03325240910912071,0.5740582929395577,0.0560003760155363,0.9640000000000001,BFS original
0.5878529369553683,0.03288281817781127,0.5731095263361421,0.05469385070305192,0.965,BFS original
0.5886590061824902,0.032975713793841344,0.5732990997958578,0.05537578819841064,0.966,BFS original
0.5881374544539926,0.028482168340119525,0.5753856668795021,0.04705635342014157,0.9670000000000001,BFS original
0.5884219494753296,0.03110385326024702,0.5763335341780802,0.04582682661155982,0.968,BFS original
0.5879953980002632,0.029374472131316005,0.5799393868539621,0.058850393571325675,0.9690000000000001,BFS original
0.5867153165066116,0.02780933271410404,0.5763311959855031,0.049918137567832185,0.97,BFS original
0.5852454705176104,0.025362773186927732,0.5689358525859511,0.04258134622978398,0.971,BFS original
0.5849609193030558,0.02605830779171912,0.5734895725604108,0.04606818252452352,0.972,BFS original
0.5838230740814291,0.025470492068693985,0.5715918594926122,0.04926291694755227,0.973,BFS original
0.5854352350129599,0.024554811661811747,0.5736795057420615,0.05441972536410837,0.9740000000000001,BFS original
0.5833964664131452,0.023963623344445836,0.5744372599980215,0.040525202358714686,0.975,BFS original
0.5815472600130975,0.022830169293377056,0.5679888845922102,0.0408602536233094,0.976,BFS original
0.5807887077706566,0.021375947020811643,0.5643844708040684,0.03404982689609027,0.977,BFS original
0.5803619652386509,0.020329453292328048,0.566282183871867,0.028508490906200824,0.978,BFS original
0.57884492818563,0.01924219191988999,0.5744388787467287,0.03856247697624285,0.9790000000000001,BFS original
0.5792242548807462,0.01904399708882064,0.57481802566616,0.0377806596028528,0.98,BFS original
