error,unfairness
0.32704368269668105,0.15899401157068052
0.3412670626490314,0.09645291796349205
0.35435230517502436,0.018551373886355516
0.35444711437151644,0.012912452780362715
0.35468419355596414,0.010348337540191144
0.3547790027524561,0.008527598536196567
0.3548738119489483,0.007829718419948017
0.35520567785260093,0.006272170164270219
0.35549010544207715,0.005868185892807775
0.35719707557009983,0.005222378204746564
0.35795571772168866,0.004884382510831481
0.36189116475165795,0.004232230551821731
0.3625075481539348,0.002083333855320296
0.36274458238380847,0.0015856945672276968
0.36464121585938936,0.0013088492199598068
0.3653997905791171,0.0006677408453291455
0.47088980049272455,0.0
