accuracy,unfairness,accuracy_test,unfairness_test,epsilon
0.6721030345348904,0.2141936584795115,0.6703916472566707,0.21355629074561416,0.0
0.6721030345348904,0.2141936584795115,0.6703916472566707,0.21355629074561416,0.1
0.6721030345348904,0.2141936584795115,0.6703916472566707,0.21355629074561416,0.3
0.6721030345348904,0.2141936584795115,0.6703916472566707,0.21355629074561416,0.4
0.6721030345348904,0.2141936584795115,0.6703916472566707,0.21355629074561416,0.5
0.6721030345348904,0.2141936584795115,0.6703916472566707,0.21355629074561416,0.6
0.6726718897138427,0.21184781049965995,0.672668687104868,0.21361107776109148,0.7
0.6659396500578622,0.1877691276604171,0.6639479482360136,0.18794329278652114,0.8
0.645836976058655,0.08858442490671295,0.6385332338102646,0.08454178923519334,0.9
0.6417597423024002,0.039093322609016226,0.6404343642364452,0.04141902588580533,0.95
0.6411907859756564,0.04060877763773034,0.6389159779490454,0.045544701384084244,0.951
0.6399108618230136,0.03459123918441381,0.6373979513835806,0.047449519879969614,0.952
0.6410488419083622,0.03447618331903838,0.6375875248432961,0.05396556793447921,0.953
0.6401005251705717,0.03372486851813681,0.636639657544718,0.052753446722358,0.954
0.6392474446977261,0.03359307811305183,0.6341708859051953,0.056454247615116845,0.955
0.6366395736688023,0.027518629051214615,0.633791738985764,0.05886989943463507,0.956
0.6399585136714163,0.033805220951643934,0.6305693498925331,0.05718230294515353,0.957
0.6401955366626465,0.032248988468278394,0.6334156497027797,0.05330807827925649,0.958
0.640811796439845,0.029955082690085354,0.6362619495130264,0.04888550574683598,0.959
0.6413332470205513,0.03276225371557086,0.6374004694371251,0.04316417598770318,0.96
0.6393422538942181,0.032762253715570844,0.6294308299684344,0.044447183132779275,0.961
0.6411909995098828,0.0328055437588609,0.6377796163565563,0.042560522912967025,0.962
0.6407643581256685,0.03110478142591012,0.6375898630358733,0.04792965042974554,0.963
0.6389629609150324,0.032781484249299254,0.6353128231876759,0.043847902246323366,0.964
0.6409539090867916,0.031268345984923375,0.6377803358004263,0.04378294879074661,0.965
0.640716897334205,0.031224130990937717,0.6356923298290422,0.04221419186290622,0.966
0.6392471075384212,0.02687615751302046,0.6387264044893297,0.051564837412264496,0.967
0.638678184927608,0.024713582161789815,0.6324688615700064,0.048919282068874304,0.968
0.637587598201862,0.023003422789629337,0.633417628173422,0.04255820767883038,0.969
0.6384884541481889,0.023551059153979537,0.6373993902713202,0.05420080846492829,0.97
0.6387729941241,0.026433284443828198,0.6309508350045415,0.0416247822938924,0.971
0.6382040040814257,0.02306423715403182,0.6358813637058554,0.05007375889570187,0.972
0.6393894337195942,0.02475372582943196,0.6349331366853421,0.05465415870391275,0.973
0.6381566556763971,0.022601527559149924,0.6356912506632373,0.051480629818812705,0.974
0.6381566556763971,0.022601527559149924,0.6356912506632373,0.051480629818812705,0.975
0.636971574436177,0.02066587604449932,0.6349325971024398,0.03541866418464236,0.976
0.6375404071378423,0.01913633952677072,0.6337940771783411,0.05867488810626061,0.977
0.6358811000968658,0.017547598877263572,0.6366392978227831,0.0398818760990976,0.978
0.6357862684230868,0.016357122686787372,0.6366392978227831,0.039278223024361444,0.979
0.6358336730213329,0.016704806037895703,0.6381575042492154,0.039486140933964055,0.98
0.6354543575648601,0.015455544925705477,0.6356914305242048,0.0344297381758766,0.981
0.6361654265385506,0.013780712284957974,0.6345529106001061,0.05831687692399329,0.982
0.6355017621631062,0.015598541956962753,0.6360709371655711,0.031624519163761036,0.983
0.6353595258910811,0.014857637601340757,0.6351227101450578,0.03257215303655771,0.984
0.6354542901329993,0.01310849557379964,0.6360714767484734,0.02919442729664572,0.985
0.6354068855347531,0.012956172649199483,0.6360714767484734,0.02919442729664572,0.986
0.635928279922242,0.010997731375930065,0.6341739435416422,0.050680817385510335,0.987
0.6300026152323405,0.009005738198417757,0.6288617498673525,0.045582595236386504,0.988
0.6326572502568311,0.007811437136491928,0.6279128034029695,0.028988989362379737,0.989
0.6289123207113252,0.007353786032510789,0.6309484968119644,0.027446209729414438,0.99
0.6318511585524222,0.005234340473355181,0.6252584152450156,0.03173828453746154,0.991
0.6315193038874132,0.006624686194258244,0.6254481685656987,0.03281936561854263,0.992
0.6257355045943014,0.004238046334741508,0.6307594629351511,0.02748384615014545,0.993
0.6314719105278105,0.0037140208125915008,0.6246898747268361,0.02821235708109048,0.994
0.6307607066903982,0.002355438918295316,0.6250704605340072,0.03804424996240503,0.995
0.6317089335190407,0.0020875817754381744,0.6246896948658687,0.028665723170629008,0.996
0.6236018368888467,0.0018643457715632138,0.6337924584296339,0.02218154920230313,0.997
0.6188605454046254,0.0009884179555453953,0.620139032527856,0.04189001516610543,0.998
0.6139758151135254,0.0006107967355085897,0.6062972921931348,0.02927515668050439,0.999
0.5291101995072754,0.0,0.5291047420344074,0.0,1.0
