accuracy,unfairness,accuracy_train,unfairness_train,epsilon,strategy
0.6698223872946214,0.186706887107774,0.6718660115436602,0.1853211601727722,0.0,BFS original
0.6698223872946214,0.186706887107774,0.6718660115436602,0.1853211601727722,0.1,BFS original
0.6698223872946214,0.186706887107774,0.6718660115436602,0.1853211601727722,0.3,BFS original
0.6698223872946214,0.186706887107774,0.6718660115436602,0.1853211601727722,0.5,BFS original
0.6559844240402171,0.16360123789021305,0.6636638359895305,0.1491301555532986,0.7,BFS original
0.5958653560797502,0.07650165646788165,0.6093302768718495,0.044200880603748015,0.9,BFS original
0.5913146937417377,0.07264398407691701,0.6058692916541497,0.04061369444534954,0.91,BFS original
0.5897946887056305,0.06920916992710567,0.6027875319837745,0.03803762300114897,0.92,BFS original
0.5797501731161813,0.06679437821380144,0.5996585025788753,0.03417392433387896,0.93,BFS original
0.580316195580816,0.0688472905385968,0.5956758644848864,0.028636489333604083,0.94,BFS original
0.5852487027527721,0.055199801732094635,0.5891332881764638,0.02263017798989353,0.95,BFS original
0.5863861435110659,0.049634664787187456,0.5885642981337895,0.01964313156785951,0.9520000000000001,BFS original
0.5776585699254476,0.044242941365438264,0.5877109029789261,0.02125311032637092,0.9540000000000001,BFS original
0.5782272903045945,0.05032589451150467,0.5873315425678794,0.020590795329468548,0.956,BFS original
0.5803129580834016,0.04410553654465245,0.5868573504830537,0.018699331957866026,0.958,BFS original
0.5799338111639702,0.04364166150436437,0.5868101706576776,0.017677270313488775,0.961,BFS original
0.578795471100839,0.04274498409475799,0.5863834506029588,0.017600746147450736,0.963,BFS original
0.5770903891292032,0.05232513557192429,0.5843919404990251,0.01533364553666444,0.965,BFS original
0.5731070082825975,0.057341884157892986,0.5815473386836021,0.013441898530170632,0.9670000000000001,BFS original
0.5696950457296509,0.045765843010674434,0.5825901386972232,0.013440493731836015,0.9690000000000001,BFS original
0.5750027428797541,0.04193558385878583,0.5815946983272741,0.012117439734926785,0.971,BFS original
0.5714021061719291,0.03695243751029427,0.5819264967990657,0.012939737501989096,0.973,BFS original
0.5664724767754525,0.049718592325175615,0.5800773803081658,0.01195478662139548,0.975,BFS original
0.575192496200437,0.03882224069423098,0.5809309103267513,0.008506453692183164,0.977,BFS original
0.5753845877136973,0.041737234513289485,0.5787498043071201,0.006720163316311251,0.9790000000000001,BFS original
0.56874879717978,0.037311963987482336,0.579081602778912,0.006994417531555107,0.982,BFS original
0.5674225024056405,0.03389166852249774,0.5765212599733127,0.0053532494130464825,0.9840000000000001,BFS original
0.5717823322571652,0.04174593163319307,0.5764738778523537,0.0042342516282184075,0.986,BFS original
0.5702653848575052,0.04016492591268074,0.5742934236740452,0.004184849750802596,0.988,BFS original
0.5668501848071441,0.041469637632035004,0.5760476073433746,0.0036835156960550674,0.99,BFS original
0.6620482566975728,0.16098828414909194,0.6647072653671873,0.1595568621046622,0.0,Curious
0.6620482566975728,0.16098828414909194,0.6647072653671873,0.1595568621046622,0.1,Curious
0.6620482566975728,0.16098828414909194,0.6647072653671873,0.1595568621046622,0.3,Curious
0.6620482566975728,0.16098828414909194,0.6647072653671873,0.1595568621046622,0.5,Curious
0.6542708886031098,0.15190657722462453,0.6604400872972871,0.14699173062487786,0.7,Curious
0.5992756998839897,0.0538113577653208,0.6016496642848609,0.048458686185165634,0.9,Curious
0.5886595861399139,0.062134135571987874,0.5999427840659861,0.04113503678060919,0.91,Curious
0.5846781837639504,0.05916434794642762,0.5979042177617544,0.03838066594880033,0.92,Curious
