epsilon,%OPT,Obj,%OPT,Obj,%OPT,Obj
0.9,0.99,1.0,0.99,1.0,0.99,1.0
0.95,0.99,1.0,0.99,1.0,0.99,1.0
0.99,0.87,0.95,0.97,1.0,0.97,1.0
