epsilon,%OPT,Obj,%OPT,Obj,%OPT,Obj
0.9,0.0,0.95,0.58,1.0,1.0,1.0
0.95,0.0,0.95,0.03,1.0,1.0,1.0
0.99,0.0,0.86,0.63,1.0,1.0,1.0
