epsilon,%OPT,Obj,%OPT,Obj,%OPT,Obj
0.9,1.0,1.0,1.0,1.0,1.0,1.0
0.95,0.0,0.87,0.69,1.0,1.0,1.0
0.99,0.0,0.94,0.03,0.99,1.0,1.0
