epsilon,%OPT,Obj,%OPT,Obj,%OPT,Obj
0.9,0.0,1.0,0.19,1.0,1.0,1.0
0.95,0.0,0.82,0.04,0.94,1.0,1.0
0.99,0.0,0.86,0.99,1.0,1.0,1.0
