accuracy,unfairness,gamma
0.6484375,0.1900977,0.1
0.6542969000000001,0.091711,0.166
0.6425780999999999,0.0920365,0.232
0.6503905999999999,0.1112437,0.298
0.6757812000000001,0.1124024,0.364
0.6347655999999999,0.1040704,0.431
0.6425780999999999,0.0996053,0.497
0.6347655999999999,0.1215885,0.563
0.6074219000000001,0.1126613,0.629
0.6445312000000001,0.0625263,0.695
0.6386719000000001,0.1588984,0.761
0.6738280999999999,0.1270479,0.827
0.65625,0.1276673,0.893
0.6542969000000001,0.1216027,0.959
0.671875,0.17233,1.025
0.671875,0.1420521,1.092
0.6542969000000001,0.118247,1.158
0.6503905999999999,0.0924922,1.224
0.6660155999999999,0.1720093,1.29
0.640625,0.1497919,1.356
0.671875,0.1570338,1.422
0.671875,0.1461873,1.488
0.6425780999999999,0.1003013,1.554
0.6640625,0.1299534,1.62
0.6484375,0.1357534,1.686
0.671875,0.1212119,1.753
0.671875,0.1981862,1.819
0.6484375,0.1553142,1.885
0.6582030999999999,0.1090124,1.951
0.6796875,0.1322495,2.017
0.6484375,0.1227745,2.083
0.640625,0.132879,2.149
0.6152344000000001,0.0744741,2.215
0.6367187999999999,0.0945604,2.281
0.6308594000000001,0.0407951,2.347
0.671875,0.1459182,2.414
0.6582030999999999,0.1446706,2.48
0.6503905999999999,0.1051947,2.546
0.6484375,0.1024616,2.612
0.6699219000000001,0.1056349,2.678
0.6347655999999999,0.0950317,2.744
0.6582030999999999,0.1448617,2.81
0.6503905999999999,0.1402709,2.876
0.6757812000000001,0.1181823,2.942
0.6640625,0.1092769,3.008
0.65625,0.1470557,3.075
0.6289062000000001,0.0791846,3.141
0.6699219000000001,0.1396109,3.207
0.6738280999999999,0.1299995,3.273
0.6699219000000001,0.1291123,3.339
0.671875,0.1253134,3.405
0.6679687999999999,0.1431952,3.471
0.6582030999999999,0.1563925,3.537
0.6582030999999999,0.1618806,3.603
0.6582030999999999,0.1369512,3.669
0.6601562000000001,0.1460117,3.736
0.6660155999999999,0.1665891,3.802
0.671875,0.1329954,3.868
0.6660155999999999,0.1243085,3.934
0.6679687999999999,0.1286909,4.0
