accuracy,unfairness,gamma
0.6464844000000001,0.2501438,0.1
0.6601562000000001,0.1317354,0.166
0.65625,0.1838926,0.232
0.6503905999999999,0.1804411,0.298
0.6621094000000001,0.1369128,0.364
0.6015625,0.0630873,0.431
0.6640625,0.1990412,0.497
0.6601562000000001,0.2023011,0.563
0.6113280999999999,0.1217642,0.629
0.6542969000000001,0.1814957,0.695
0.6308594000000001,0.0455417,0.761
0.6679687999999999,0.2050815,0.827
0.6523437999999999,0.258581,0.893
0.65625,0.1730585,0.959
0.6367187999999999,0.1888783,1.025
0.6386719000000001,0.2133269,1.092
0.6679687999999999,0.222627,1.158
0.6523437999999999,0.1620326,1.224
0.6523437999999999,0.1620326,1.29
0.640625,0.157047,1.356
0.640625,0.157047,1.422
0.6445312000000001,0.1494727,1.488
0.6621094000000001,0.1401726,1.554
0.6699219000000001,0.2217641,1.62
0.6484375,0.1066156,1.686
0.6464844000000001,0.1308725,1.753
0.6621094000000001,0.17651,1.819
0.6640625,0.1613615,1.885
0.6660155999999999,0.1486098,1.951
0.6699219000000001,0.0923298,2.017
0.6738280999999999,0.1518696,2.083
0.6386719000000001,0.168744,2.149
0.6445312000000001,0.1721956,2.215
0.6484375,0.2040269,2.281
0.640625,0.1713327,2.347
0.6679687999999999,0.2124641,2.414
0.6738280999999999,0.1317354,2.48
0.6660155999999999,0.1470758,2.546
0.65625,0.1990412,2.612
0.578125,0.0983701,2.678
0.6601562000000001,0.2124641,2.744
0.65625,0.2033557,2.81
0.6621094000000001,0.2116011,2.876
0.6464844000000001,0.0561841,2.942
0.6699219000000001,0.1042186,3.008
0.6679687999999999,0.2074784,3.075
0.6523437999999999,0.2334612,3.141
0.671875,0.1804411,3.207
0.6640625,0.1159156,3.273
0.6425780999999999,0.1628955,3.339
0.6679687999999999,0.1999041,3.405
0.671875,0.1141898,3.471
0.671875,0.2258869,3.537
0.625,0.0765101,3.603
0.6679687999999999,0.1613615,3.669
0.6660155999999999,0.1873442,3.736
0.6679687999999999,0.2594439,3.802
0.6738280999999999,0.1167786,3.868
0.640625,0.1561841,3.934
0.6601562000000001,0.1931927,4.0
