epsilon,%OPT,Obj,Cache,Explored,%OPT,Obj,Cache,Explored,%OPT,Obj,Cache,Explored
0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.64,0.66,1.0,1.0,0.35,0.66
0.95,0.0,0.88,1.0,1.0,0.62,1.0,0.7,0.67,1.0,1.0,0.43,0.67
0.99,0.0,0.94,1.0,1.0,0.02,0.98,0.78,0.73,1.0,1.0,0.52,0.74
