epsilon,%OPT,Obj,Cache,Explored,%OPT,Obj,Cache,Explored,%OPT,Obj,Cache,Explored
0.9,0.0,0.96,1.0,1.0,0.0,0.96,0.89,0.86,0.92,1.0,0.71,0.86
0.95,0.0,0.88,1.0,1.0,0.0,1.0,0.76,0.72,1.0,1.0,0.49,0.72
0.99,0.0,0.98,1.0,1.0,0.98,1.0,0.71,0.68,1.0,1.0,0.45,0.68
