epsilon,%OPT,Obj,Cache,Explored,%OPT,Obj,Cache,Explored,%OPT,Obj,Cache,Explored
0.9,0.0,0.94,1.0,1.0,0.54,1.0,0.67,0.66,1.0,1.0,0.5,0.66
0.95,0.0,0.94,1.0,1.0,0.04,1.0,0.84,0.83,1.0,1.0,0.67,0.83
0.99,0.0,0.82,1.0,1.0,0.68,1.0,0.69,0.67,1.0,1.0,0.44,0.67
