epsilon,%OPT,Obj,Cache,Explored,%OPT,Obj,Cache,Explored,%OPT,Obj,Cache,Explored
0.9,0.0,1.0,1.0,1.0,0.24,1.0,0.92,0.9,1.0,1.0,0.79,0.9
0.95,0.0,0.74,1.0,1.0,0.02,0.92,0.62,0.6,1.0,1.0,0.35,0.6
0.99,0.0,0.8,1.0,1.0,0.98,1.0,0.8,0.79,1.0,1.0,0.68,0.79
