accuracy,unfairness,accuracy_train,unfairness_train,epsilon,strategy
0.8153433623946101,0.05484241355828592,0.8165595363218102,0.05563814388698687,0.0,BFS original
0.8153433623946101,0.05484241355828592,0.8165595363218102,0.05563814388698687,0.1,BFS original
0.8153433623946101,0.05484241355828592,0.8165595363218102,0.05563814388698687,0.3,BFS original
0.8153433623946101,0.05484241355828592,0.8165595363218102,0.05563814388698687,0.5,BFS original
0.8153433623946101,0.05484241355828592,0.8165595363218102,0.05563814388698687,0.7,BFS original
0.8153433623946101,0.05484241355828592,0.8165595363218102,0.05563814388698687,0.9,BFS original
0.8153433623946101,0.05484241355828592,0.8165595363218102,0.05563814388698687,0.91,BFS original
0.8153433623946101,0.05484241355828592,0.8165595363218102,0.05563814388698687,0.92,BFS original
0.8153433623946101,0.05484241355828592,0.8165595363218102,0.05563814388698687,0.93,BFS original
0.8151664495241988,0.0540908778398234,0.8161836241820595,0.05438828562346546,0.94,BFS original
0.8138396334203989,0.05521253517826012,0.8140534157284479,0.04901353314747416,0.95,BFS original
0.8119526366902272,0.05283002685941709,0.811746326460244,0.04728276567179565,0.9520000000000001,BFS original
0.8100067255054952,0.04876030773006256,0.8108912788292846,0.04430948946867684,0.9540000000000001,BFS original
0.8096529519205895,0.0416935279596075,0.8102278979452884,0.04144903224323016,0.956,BFS original
0.8078544116256234,0.0404483065553083,0.8093876166875106,0.040385523822244376,0.958,BFS original
0.808001778169063,0.03733325812723407,0.8083851696454494,0.035932402446103184,0.961,BFS original
0.8076774379066423,0.03558267648482697,0.8077881327176097,0.03531219225094817,0.963,BFS original
0.8067928735545857,0.034459710038566425,0.8068372961288282,0.03430758677910063,0.965,BFS original
0.8046110611573329,0.03260820025725328,0.8046481245965799,0.03199661603007445,0.9670000000000001,BFS original
0.8030189061722007,0.031221824882166124,0.8034024367561006,0.03007362680385719,0.9690000000000001,BFS original
0.801131939866314,0.029055970099170863,0.8023483879537331,0.0285558160597212,0.971,BFS original
0.7999525815788083,0.025975072387727092,0.8003656030885548,0.026008561856668843,0.973,BFS original
0.7986258697868422,0.02474844761543727,0.7986997786940179,0.024443200394453645,0.975,BFS original
0.7980952007168308,0.023394140217507117,0.7974688382108416,0.022389277913550887,0.977,BFS original
0.7960018360621309,0.02011879259696388,0.7962010283836142,0.02033454743240099,0.9790000000000001,BFS original
0.7942622449923366,0.017841660259948478,0.7939897587702938,0.017221439779150048,0.982,BFS original
0.7917560792936837,0.013684051967913757,0.7923386727684312,0.015200849945650732,0.9840000000000001,BFS original
0.7888372125165856,0.013703517633981793,0.7882109568129806,0.013393973895770529,0.986,BFS original
0.788041161101978,0.01274794499548028,0.7872748529121096,0.011451304419204349,0.988,BFS original
0.7833533351274969,0.013986336011829187,0.7836188505503812,0.009096027370445486,0.99,BFS original
0.8136333133054612,0.0518929907620828,0.8147462935002929,0.05221270053604123,0.0,Curious
0.8136333133054612,0.0518929907620828,0.8147462935002929,0.05221270053604123,0.1,Curious
0.8136333133054612,0.0518929907620828,0.8147462935002929,0.05221270053604123,0.3,Curious
0.8136333133054612,0.0518929907620828,0.8147462935002929,0.05221270053604123,0.5,Curious
0.8136333133054612,0.0518929907620828,0.8147462935002929,0.05221270053604123,0.7,Curious
0.8136333133054612,0.0518929907620828,0.8147462935002929,0.05221270053604123,0.9,Curious
0.8136333133054612,0.0518929907620828,0.8147462935002929,0.05221270053604123,0.91,Curious
0.8136333133054612,0.0518929907620828,0.8147462935002929,0.05221270053604123,0.92,Curious
0.8136333133054612,0.0518929907620828,0.8147462935002929,0.05221270053604123,0.93,Curious
0.8136333133054612,0.0518929907620828,0.8147462935002929,0.05221270053604123,0.94,Curious
0.8138100914397537,0.054676453738095585,0.8140313122142675,0.048834345936169504,0.95,Curious
0.8114219806591952,0.051886401090594926,0.8116726143943721,0.047334151144680835,0.9520000000000001,Curious
0.8100066994275366,0.05036561637408474,0.8101173526655351,0.04533031180009283,0.9540000000000001,Curious
0.8071174007090421,0.046953844825599514,0.8076259590553194,0.04341921159527131,0.956,Curious
0.8054072864249969,0.044339640589935884,0.8056210576365009,0.040638645294714185,0.958,Curious
0.8029305279708705,0.03625248753169822,0.8039036537574014,0.03650819977541957,0.961,Curious
0.8016627958283611,0.03732841290178555,0.8027095483896944,0.03551105026691943,0.963,Curious
0.8005129925604799,0.03527764678355959,0.8012353470055998,0.034156426280524316,0.965,Curious
0.7988030782074498,0.0263743828933382,0.7995400094238893,0.03072390081809486,0.9670000000000001,Curious
0.7985670118345253,0.024978718892441583,0.7986923711942676,0.02512425366990525,0.9690000000000001,Curious
0.7977709039176742,0.028808382434335342,0.7976751971690594,0.02487479593429424,0.971,Curious
0.7976234765256648,0.024406769723703627,0.7974467015547011,0.0235390473348372,0.973,Curious
0.7967683976520101,0.02353638841968725,0.7966948772751994,0.02300949398442761,0.975,Curious
0.7959133187783554,0.022584257965834176,0.7956482199449125,0.02179289630205201,0.977,Curious
0.7942327073580178,0.020767366316501674,0.7941150742264046,0.020445740176741486,0.9790000000000001,Curious
0.7898396883579648,0.017791266187132983,0.7899947081797571,0.01722323077870055,0.982,Curious
0.7879231844177591,0.01775623093947791,0.7878866461618808,0.015828562346584918,0.9840000000000001,Curious
0.7874516036553648,0.01596066389847545,0.7857785447539699,0.013547624078098364,0.986,Curious
0.7837659927426779,0.014663168681565166,0.7828891485292829,0.011433820492719552,0.988,Curious
0.7808175839849346,0.015387418142939872,0.7812380587242447,0.009134643996956978,0.99,Curious
0.8136333089591348,0.0517981964569532,0.8146652125097393,0.052151334264307785,0.0,Lower bound
0.8136333089591348,0.0517981964569532,0.8146652125097393,0.052151334264307785,0.1,Lower bound
0.8136333089591348,0.0517981964569532,0.8146652125097393,0.052151334264307785,0.3,Lower bound
0.8136333089591348,0.0517981964569532,0.8146652125097393,0.052151334264307785,0.5,Lower bound
0.8136333089591348,0.0517981964569532,0.8146652125097393,0.052151334264307785,0.7,Lower bound
0.8136333089591348,0.0517981964569532,0.8146652125097393,0.052151334264307785,0.9,Lower bound
0.8136333089591348,0.0517981964569532,0.8146652125097393,0.052151334264307785,0.91,Lower bound
0.8136333089591348,0.0517981964569532,0.8146652125097393,0.052151334264307785,0.92,Lower bound
0.8136333089591348,0.0517981964569532,0.8146652125097393,0.052151334264307785,0.93,Lower bound
0.8136333089591348,0.0517981964569532,0.8146652125097393,0.052151334264307785,0.94,Lower bound
0.8133384280971574,0.05388558518859758,0.8134121427051187,0.048174862660130734,0.95,Lower bound
0.8113924951807933,0.051835476055041976,0.8116136466975934,0.04726354434271656,0.9520000000000001,Lower bound
0.8090338177227198,0.04951443029826398,0.8092475641970023,0.04508785016089191,0.9540000000000001,Lower bound
0.8081787171174328,0.04888692817677777,0.8079650309181481,0.043149400413020685,0.956,Lower bound
0.8060559104475951,0.04167567945656455,0.8062623355496277,0.04111204181251794,0.958,Lower bound
0.8033728014542462,0.037541363504626286,0.8041911162535722,0.037034953842598466,0.961,Lower bound
0.8018691898308479,0.03726947664643073,0.8029233012648921,0.03577592085190623,0.963,Lower bound
0.8012500208623667,0.03618433558755296,0.8016997269898434,0.03449260945586672,0.965,Lower bound
0.8001592363608799,0.027271353176667856,0.8005572138745034,0.030907024005520405,0.9670000000000001,Lower bound
0.799009254893616,0.025532521689695886,0.7991862252473055,0.025639467782107427,0.9690000000000001,Lower bound
0.7982131469767649,0.02936218523158964,0.7981764220483669,0.025379082876087183,0.971,Lower bound
0.7982426324551668,0.024952829088282308,0.7981469387432885,0.024410795386421658,0.973,Lower bound
0.797417039059914,0.02394892893986853,0.7974688227264831,0.02366604553253545,0.975,Lower bound
0.7960607070534271,0.022898961300388786,0.796193669781838,0.022574124428574382,0.977,Lower bound
0.7945570302351328,0.021153759678595032,0.7943656823195718,0.02058534848124052,0.9790000000000001,Lower bound
0.7909600496107083,0.01775122285337217,0.7909971611982374,0.017825628171435792,0.982,Lower bound
0.7895448422665988,0.016067637592901415,0.7891544296385333,0.015524679282415691,0.9840000000000001,Lower bound
0.7866554392362705,0.014344425191730478,0.7862355427740718,0.013764196847619035,0.986,Lower bound
0.7821737769089762,0.014631134122872862,0.7834124763794602,0.011500438939418258,0.988,Lower bound
0.7820854334782573,0.015008556990549359,0.7823437016805671,0.009547769293468265,0.99,Lower bound
0.8187634388412764,0.059491330752896775,0.8197806387445091,0.05978759410622414,0.0,BFS objective-aware
0.8187634388412764,0.059491330752896775,0.8197806387445091,0.05978759410622414,0.1,BFS objective-aware
0.8187634388412764,0.059491330752896775,0.8197806387445091,0.05978759410622414,0.3,BFS objective-aware
0.8187634388412764,0.059491330752896775,0.8197806387445091,0.05978759410622414,0.5,BFS objective-aware
0.8187634388412764,0.059491330752896775,0.8197806387445091,0.05978759410622414,0.7,BFS objective-aware
0.8187634388412764,0.059491330752896775,0.8197806387445091,0.05978759410622414,0.9,BFS objective-aware
0.8187634388412764,0.059491330752896775,0.8197806387445091,0.05978759410622414,0.91,BFS objective-aware
0.8187634388412764,0.059491330752896775,0.8197806387445091,0.05978759410622414,0.92,BFS objective-aware
0.8187634388412764,0.059491330752896775,0.8197806387445091,0.05978759410622414,0.93,BFS objective-aware
0.8193530701754387,0.05815489147998217,0.8194563199437471,0.05724322177278453,0.94,BFS objective-aware
0.81457670518555,0.05042590188974967,0.8156529198008492,0.048659089049258065,0.95,BFS objective-aware
0.8130729935966443,0.04480550185423805,0.8148052584805174,0.04711945653782594,0.9520000000000001,BFS objective-aware
0.8126013128687422,0.04110901036536816,0.8138691467016397,0.043517046898000185,0.9540000000000001,BFS objective-aware
0.8110090926887139,0.03984464765510577,0.8129256651831139,0.04150042482805607,0.956,BFS objective-aware
0.8113924343322234,0.039295259067361914,0.81263819399397,0.03941975238720051,0.958,BFS objective-aware
0.8103309571097554,0.03777159155941042,0.8113630410493249,0.03774558697276949,0.961,BFS objective-aware
0.8084734154337008,0.03667989987670743,0.8095498066491255,0.03605967494080485,0.963,BFS objective-aware
0.8067338982514556,0.03483709288117738,0.8078766021920348,0.03454335668847771,0.965,BFS objective-aware
0.8062326972745405,0.03312778184737122,0.8055031570148363,0.03233951809001386,0.9670000000000001,BFS objective-aware
0.8030189061722007,0.031221824882166124,0.8034024367561006,0.03007362680385719,0.9690000000000001,BFS objective-aware
0.801131939866314,0.029055970099170863,0.8023483879537331,0.0285558160597212,0.971,BFS objective-aware
0.7999525815788083,0.025975072387727092,0.8003656030885548,0.026008561856668843,0.973,BFS objective-aware
0.7986258697868422,0.02474844761543727,0.7986997786940179,0.024443200394453645,0.975,BFS objective-aware
0.7980952007168308,0.023394140217507117,0.7974688382108416,0.022389277913550887,0.977,BFS objective-aware
0.7960018360621309,0.02011879259696388,0.7962010283836142,0.02033454743240099,0.9790000000000001,BFS objective-aware
0.7942622449923366,0.017841660259948478,0.7939897587702938,0.017221439779150048,0.982,BFS objective-aware
0.7917560792936837,0.013684051967913757,0.7923386727684312,0.015200849945650732,0.9840000000000001,BFS objective-aware
0.7888961443564516,0.014366061143611587,0.7883657495977511,0.013546347136774715,0.986,BFS objective-aware
0.788041161101978,0.01274794499548028,0.7872748529121096,0.011451304419204349,0.988,BFS objective-aware
0.7846210238067421,0.013912379324106909,0.7841495696009837,0.009143467255928342,0.99,BFS objective-aware
