error,unfairness
0.17985743422520817,0.18549823082055983
0.18015447618238467,0.12080179371754121
0.1803855088157441,0.024109521520762484
0.18044326697408386,0.01623034738393676
0.1810043230796945,0.009776156590046173
0.18140863018807352,0.0060864634078673634
0.18162316049047877,0.0056336317118791755
0.18187069000847844,0.004154615233132238
0.1819201949589736,0.003988031978682684
0.18220897792159685,0.0031979925308520942
0.18251426968267181,0.0017194405992842637
0.1828690697981884,0.0012616073507106247
0.18326512574109022,0.0008778913347956486
0.18400772008179822,0.0006914302312310627
0.1856909496696607,0.0003864465525966932
0.24789598241766497,0.0
