error,unfairness
0.17985743422520817,0.3552252887800881
0.18015447618238467,0.2580723629723139
0.1802534901681101,0.24855485956617582
0.1812188622323596,0.12652291155563783
0.1838839645134529,0.05998552202401906
0.18437078327660306,0.038642990629269194
0.18484933555651872,0.009488435297577213
0.18652432214837478,0.0054016661953595335
0.18711015489725058,0.0047646388473266965
0.18822406223666222,0.003670898025752556
0.18901617412246607,0.0028263789016539143
0.19187100453310324,0.002230842625191487
0.1936780097725933,0.0014103549350524603
0.19611209303611177,0.0003628684926968662
0.24789598241766497,0.0
