accuracy,unfairness
0.8309000000000001,0.03302684392097727
0.83095,0.03397727335592702
0.8310000000000001,0.03315976401405254
0.8310000000000001,0.033628539759644895
0.8310500000000001,0.033149497843477226
0.8310000000000001,0.03347984594476581
0.83095,0.03324175070667057
0.8309,0.03415104582964949
0.83125,0.034152471549638096
0.8314,0.033925347075938285
0.83115,0.03661543274311324
0.83125,0.03739537296097025
0.8313,0.03715585200288642
0.8312999999999999,0.03716326673348456
0.8313,0.03892067644101216
0.83125,0.040838727548923356
0.8311999999999999,0.04216717640571288
0.83145,0.04362742253242713
0.8314,0.04617218718840989
0.8314499999999999,0.046177913300298114
0.8314,0.0461652539171928
0.8313,0.047176809434540404
0.8314,0.047184665860237326
0.8314,0.04849565237651317
0.8314499999999999,0.04875737776210913
0.83145,0.04852097114272379
0.8314499999999999,0.04751390645116695
0.8314,0.047763677047477734
0.8313499999999999,0.047514611044987075
0.83115,0.04832900604816306
0.8313,0.048570657320055596
0.83105,0.04857807205065372
0.83095,0.049893861524337925
0.83095,0.050142927526828585
0.8311999999999999,0.050631514487403086
0.8313,0.05239776464551743
0.8314,0.05091788671518991
0.8313,0.05115429333457525
0.83115,0.05068791080151289
0.8310500000000001,0.05094009114270205
0.83115,0.05140145215769628
0.8312000000000002,0.052477720673296646
0.8312000000000002,0.05201037064769289
0.8310000000000001,0.052753037925045446
0.8310000000000001,0.052753037925045446
0.83065,0.050273781646056816
0.8306000000000001,0.049568599281079116
0.8305,0.04979546085605761
0.8303,0.05036963030732966
0.8305,0.051340575551081666
0.83055,0.051340575551081666
0.83055,0.05156983033859021
0.8308500000000001,0.05204003180417114
0.8307000000000002,0.05252719304475704
0.8305,0.05363068750593769
0.8303,0.05419814682043174
0.8303,0.05394908081794107
0.8303499999999999,0.05394908081794107
0.8302999999999999,0.05526487029162528
0.8301000000000001,0.054792057052854594
