epsilon,%OPT,Obj,%OPT,Obj,%OPT,Obj
0.9,0.0,0.96,0.0,0.96,0.92,1.0
0.95,0.0,0.88,0.0,1.0,1.0,1.0
0.99,0.0,0.98,0.98,1.0,1.0,1.0
