epsilon,%OPT,Obj,%OPT,Obj,%OPT,Obj
0.9,0.0,0.94,0.54,1.0,1.0,1.0
0.95,0.0,0.94,0.04,1.0,1.0,1.0
0.99,0.0,0.82,0.68,1.0,1.0,1.0
