epsilon,%OPT,Obj,%OPT,Obj,%OPT,Obj
0.9,1.0,1.0,1.0,1.0,1.0,1.0
0.95,0.98,1.0,1.0,1.0,0.98,1.0
0.99,0.14,0.34,0.82,1.0,0.66,0.72
