min_epsilon(total_vals),train_acc_percentbest(average),test_acc_percentbest(average),test_unf_violation(average),train_acc_percentbest(average),test_acc_percentbest(average),test_unf_violation(average),train_acc_percentbest(average),test_acc_percentbest(average),test_unf_violation(average)
S,P
0.900000 (23),0.696,0.783,0.01,0.783,0.87,0.01,1.0,0.913,0.009
P,E
0.900000 (23),0.826,0.913,0.016,1.0,0.913,0.017,1.0,0.913,0.017
E,O
0.900000 (23),0.826,0.913,0.043,1.0,0.913,0.044,1.0,0.913,0.044
E,O,d,d,s
0.900000 (23),0.652,0.87,0.033,0.87,0.87,0.033,1.0,0.783,0.034
