epsilon,%OPT,Obj,%OPT,Obj,%OPT,Obj
0.9,1.0,1.0,1.0,1.0,1.0,1.0
0.95,0.0,0.88,0.62,1.0,1.0,1.0
0.99,0.0,0.94,0.02,0.98,1.0,1.0
