epsilon,%OPT,Obj,%OPT,Obj,%OPT,Obj
0.9,1.0,1.0,1.0,1.0,0.98,1.0
0.95,0.98,1.0,1.0,1.0,0.96,1.0
0.99,0.0,0.08,0.58,1.0,0.44,0.58
