epsilon,%OPT,Obj,%OPT,Obj,%OPT,Obj
0.9,0.0,1.0,0.24,1.0,1.0,1.0
0.95,0.0,0.74,0.02,0.92,1.0,1.0
0.99,0.0,0.8,0.98,1.0,1.0,1.0
