epsilon,%OPT,Obj,%OPT,Obj,%OPT,Obj
0.9,1.0,1.0,1.0,1.0,1.0,1.0
0.95,0.98,1.0,1.0,1.0,0.98,1.0
0.99,0.1,0.36,0.74,1.0,0.6,0.66
