error,unfairness,strategy
0.17552560196404965,0.25319652442379964,with ULB
0.17885904660642227,0.19139145429976315,with ULB
0.18191195877085956,0.09501281522666484,with ULB
0.18319087818679147,0.04241515506872131,with ULB
0.18321563168322275,0.039510032663725186,with ULB
0.18327338984156272,0.038065520430279776,with ULB
0.18338065499276526,0.037867841370106126,with ULB
0.18338890615824235,0.0377679331027754,with ULB
0.18339715732371945,0.037457391342831534,with ULB
0.1835951852951705,0.03551402233749965,with ULB
0.18363644112255614,0.03263835640214343,with ULB
0.1838427151535651,0.03221869128635742,with ULB
0.18399948491486806,0.02892208157397445,with ULB
0.1840819965696392,0.028605420756715395,with ULB
0.18416450822441044,0.02632717121675276,with ULB
0.18472558747685475,0.02575252744120553,with ULB
0.18520413533164012,0.024660779837161573,with ULB
0.18526189348998007,0.023927165586389118,with ULB
0.18583122390790172,0.023270574236459885,with ULB
0.18599624619626032,0.022619472888085083,with ULB
0.1866810871441531,0.020769743706793298,with ULB
0.18716790590730348,0.018432877830144308,with ULB
0.18781149681451906,0.01764036957377215,with ULB
0.1878610038073818,0.017531167586488542,with ULB
0.19007225999013946,0.01590500671494206,with ULB
0.19138419530100206,0.01393754552420301,with ULB
0.1914502046248192,0.013686626549807412,with ULB
0.19654117372420432,0.01179715390882583,with ULB
0.1967144481992239,0.01138593577126532,with ULB
0.19708575064569445,0.01112164313318962,with ULB
0.199206213713083,0.008775337729050658,with ULB
0.19966827897980188,0.008342734252059869,with ULB
0.20013034424652087,0.006540196076117132,with ULB
0.200138595411998,0.0058901466380292256,with ULB
0.20044387934399688,0.004238172423968845,with ULB
0.20092244694167005,0.0040781716711165705,with ULB
0.2017063076619968,0.003414296137579975,with ULB
0.20198684728821906,0.0022808871062711678,with ULB
0.2022343822525328,0.0021326252106838696,with ULB
0.20515529483143455,0.0011490387381744235,with ULB
0.2100398813139287,0.0006066215165136722,with ULB
0.24789598241766495,0.0,with ULB
0.17552560196404965,0.25319652442379964,without ULB
0.17885904660642227,0.19139145429976315,without ULB
0.18191195877085956,0.09501281522666484,without ULB
0.18319087818679147,0.04241515506872131,without ULB
0.18321563168322275,0.039510032663725186,without ULB
0.18327338984156272,0.038065520430279776,without ULB
0.18338065499276526,0.037867841370106126,without ULB
0.18338890615824235,0.0377679331027754,without ULB
0.18339715732371945,0.037457391342831534,without ULB
0.1835951852951705,0.03551402233749965,without ULB
0.18363644112255614,0.03263835640214343,without ULB
0.1838427151535651,0.03221869128635742,without ULB
0.18399948491486806,0.02892208157397445,without ULB
0.1840819965696392,0.028605420756715395,without ULB
0.18416450822441044,0.02632717121675276,without ULB
0.18472558747685475,0.02575252744120553,without ULB
0.18520413533164012,0.024660779837161573,without ULB
0.18526189348998007,0.023927165586389118,without ULB
0.18583122390790172,0.023270574236459885,without ULB
0.18681311157849545,0.02251808439967955,without ULB
0.1887273254636821,0.020679259867660817,without ULB
0.1889253534351332,0.01818542968957071,without ULB
0.18956894434234872,0.01739292143319855,without ULB
0.1904683213793552,0.016975491496040385,without ULB
0.1922918235034856,0.015787889092426455,without ULB
0.19360375881434844,0.013820427901687405,without ULB
0.19431335904538086,0.013731730942329223,without ULB
0.19654117372420432,0.01179715390882583,without ULB
0.1967144481992239,0.01138593577126532,without ULB
0.19708575064569445,0.01112164313318962,without ULB
0.199206213713083,0.008775337729050658,without ULB
0.2004521397001288,0.006976581989534348,without ULB
0.20074918165730515,0.006485122273947907,without ULB
0.20075743282278224,0.0058350728358599994,without ULB
0.20106271675478127,0.004183098621799618,without ULB
0.20154128435245444,0.004023097868947345,without ULB
0.2023251450727812,0.0033592223354107498,without ULB
0.2026056846990033,0.002725429835741866,without ULB
0.20285321966331704,0.002077551408514644,without ULB
0.20515529483143455,0.0011490387381744235,without ULB
0.2150813253795366,0.00047338434337207413,without ULB
0.24789598241766495,0.0,without ULB
