error,unfairness,strategy
0.3273281102861573,0.22419712882734472,with ULB
0.33439226080036444,0.1920336263159685,with ULB
0.3775363005375105,0.09829727961814096,with ULB
0.4067892083398377,0.0459381113729259,with ULB
0.4074056142194015,0.04550934633188057,with ULB
0.4078323455127636,0.04418820184506843,with ULB
0.4088754939243331,0.04373393005744156,with ULB
0.4092548093808057,0.041924448908339296,with ULB
0.4094444727283639,0.04086103595146212,with ULB
0.410914363671939,0.039185002634311086,with ULB
0.4114359378777237,0.03835236229350877,with ULB
0.4115307695515028,0.0375257912556583,with ULB
0.4130003120971297,0.03570153670587056,with ULB
0.4139012129980306,0.0351807661197613,with ULB
0.4140434605086992,0.03510409090362804,with ULB
0.41475467558475504,0.03361459400219232,with ULB
0.4166511854352575,0.03135837468024509,with ULB
0.4173622544089479,0.030566831687041926,with ULB
0.4177888957931621,0.029644440185581093,with ULB
0.4181681662950609,0.027772684420787043,with ULB
0.4183104138057294,0.027286479973108024,with ULB
0.4190689660481704,0.025467228318071883,with ULB
0.4191637977219495,0.025353788439212138,with ULB
0.4205385985029453,0.02448153095286081,with ULB
0.4208230822856389,0.0226025684592812,with ULB
0.4217713990234293,0.020925899710628887,with ULB
0.422198119078148,0.020073375941067992,with ULB
0.4229092554836994,0.018456187335131748,with ULB
0.4236204930370422,0.017605881085029324,with ULB
0.4238575722214899,0.017141488879740485,with ULB
0.4242842136057041,0.016530257467749054,with ULB
0.4259911275405094,0.014494839213928284,with ULB
0.4268918373844709,0.012853304714365854,with ULB
0.4275555017599153,0.01081940486481372,with ULB
0.4285512343345953,0.01003030239548181,with ULB
0.4286460660083743,0.009394892631009791,with ULB
0.4293097303838188,0.008980525413221668,with ULB
0.4295942254051559,0.008495213083795274,with ULB
0.4302105975687891,0.007367646528708372,with ULB
0.4306373401007948,0.0060457007689378615,with ULB
0.4306847559376844,0.00569322015196766,with ULB
0.4314432295096209,0.005507112975551514,with ULB
0.432533703848932,0.003250511044178073,with ULB
0.43338718891294337,0.0022366828811822004,with ULB
0.4339086394936496,0.001917995962913216,with ULB
0.43471470872077145,0.0011903735692059935,with ULB
0.4355681038756349,0.0006439991472710737,with ULB
0.4708898004927246,0.0,with ULB
0.3273281102861573,0.22419712882734472,without ULB
0.33439226080036444,0.1920336263159685,without ULB
0.378294774109447,0.09828687845992767,without ULB
0.4067892083398377,0.0459381113729259,without ULB
0.4074056142194015,0.04550934633188057,without ULB
0.4078323455127636,0.04418820184506843,without ULB
0.4088754939243331,0.04373393005744156,without ULB
0.4092548093808057,0.041924448908339296,without ULB
0.4094444727283639,0.04086103595146212,without ULB
0.410914363671939,0.039185002634311086,without ULB
0.4114359378777237,0.03835236229350877,without ULB
0.4115307695515028,0.0375257912556583,without ULB
0.4130003120971297,0.03570153670587056,without ULB
0.4139012129980306,0.0351807661197613,without ULB
0.4140434605086992,0.03510409090362804,without ULB
0.41475467558475504,0.03361459400219232,without ULB
0.4166511854352575,0.03135837468024509,without ULB
0.4173622544089479,0.030566831687041926,without ULB
0.4177888957931621,0.029644440185581093,without ULB
0.4181681662950609,0.027772684420787043,without ULB
0.4183104138057294,0.027286479973108024,without ULB
0.4190689660481704,0.025467228318071883,without ULB
0.4191637977219495,0.025353788439212138,without ULB
0.4205385985029453,0.02448153095286081,without ULB
0.4208230822856389,0.0226025684592812,without ULB
0.4217713990234293,0.020925899710628887,without ULB
0.422198119078148,0.020073375941067992,without ULB
0.4229092554836994,0.018456187335131748,without ULB
0.4236204930370422,0.017605881085029324,without ULB
0.4238575722214899,0.017141488879740485,without ULB
0.4242842136057041,0.016530257467749054,without ULB
0.4259911275405094,0.014494839213928284,without ULB
0.4268918373844709,0.012853304714365854,without ULB
0.4275555017599153,0.01081940486481372,without ULB
0.4285512343345953,0.01003030239548181,without ULB
0.4286460660083743,0.009394892631009791,without ULB
0.4293097303838188,0.008980525413221668,without ULB
0.4295942254051559,0.008495213083795274,without ULB
0.4302105975687891,0.007367646528708372,without ULB
0.4306373401007948,0.0060457007689378615,without ULB
0.4306847559376844,0.00569322015196766,without ULB
0.4314432295096209,0.005507112975551514,without ULB
0.432533703848932,0.003250511044178073,without ULB
0.43338718891294337,0.0022366828811822004,without ULB
0.4339086394936496,0.001917995962913216,without ULB
0.43471470872077145,0.0011903735692059935,without ULB
0.4355681038756349,0.0006439991472710737,without ULB
0.4708898004927246,0.0,without ULB
