error,unfairness,strategy
0.17552560196404965,0.08371333432054462,with ULB
0.18356216974063425,0.04941765268722738,with ULB
0.18437900857208955,0.0487067115958572,with ULB
0.1850556187781821,0.0473735385987691,with ULB
0.1854269144167603,0.04548551048374265,with ULB
0.1861035099858845,0.04370528840590386,with ULB
0.18666458923832896,0.04200702446488104,with ULB
0.18670584506571453,0.04164810501355395,with ULB
0.18679660788596308,0.03913750906146357,with ULB
0.18710188841401576,0.03888956884152688,with ULB
0.1871101392390984,0.03871337108870662,with ULB
0.1892554296685496,0.037059904750368175,with ULB
0.1901052758850703,0.03674276731576442,with ULB
0.19050131889297686,0.03572448116476387,with ULB
0.1911201563037611,0.03501877247991832,with ULB
0.19227531913016385,0.034403433544856685,with ULB
0.19410704859214825,0.033327717412414526,with ULB
0.19480839527494145,0.03138046307272805,with ULB
0.19588929795244456,0.030858522088820808,with ULB
0.196780423823974,0.030236297504278344,with ULB
0.19784482417052307,0.02778533277217545,with ULB
0.1986534383872811,0.02671550093469813,with ULB
0.19913199304995888,0.02586077450578609,with ULB
0.19970956237915136,0.025395066418671463,with ULB
0.20043566255837608,0.024444902747520016,with ULB
0.2009389765041936,0.023357555323038355,with ULB
0.2016320744042719,0.022601127499865155,with ULB
0.202622210517186,0.0212748026692386,with ULB
0.20326580142440176,0.02041104393767049,with ULB
0.20429718791838747,0.0186206379859105,with ULB
0.20458597496574596,0.018095989257676186,with ULB
0.20533682251429888,0.016558991988488394,with ULB
0.20716027562160488,0.015524760756324259,with ULB
0.20732529893114726,0.015143149956547312,with ULB
0.20786161549650567,0.0145013963428069,with ULB
0.21030394720234435,0.013336540549320064,with ULB
0.21343113891817425,0.011862381708807986,with ULB
0.21372818087535064,0.01154867925102825,with ULB
0.21585695263490626,0.00783247189995132,with ULB
0.21730915775888004,0.006687806465176799,with ULB
0.2174741810684224,0.0065414152014475644,with ULB
0.2185220790840171,0.00569949315275757,with ULB
0.21988349245420025,0.003954879521289709,with ULB
0.22048580642956409,0.00258494065511018,with ULB
0.22193801155353787,0.0022881950146737442,with ULB
0.2230354165619952,0.0011775953324260427,with ULB
0.22362950047634836,0.00048004980337449656,with ULB
0.24789598241766495,0.0,with ULB
0.17552560196404965,0.08371333432054462,without ULB
0.18356216974063425,0.04941765268722738,without ULB
0.18437900857208955,0.0487067115958572,without ULB
0.1850556187781821,0.0473735385987691,without ULB
0.1854269144167603,0.04548551048374265,without ULB
0.1861035099858845,0.04370528840590386,without ULB
0.18666458923832896,0.04200702446488104,without ULB
0.18670584506571453,0.04164810501355395,without ULB
0.18679660788596308,0.03913750906146357,without ULB
0.18710188841401576,0.03888956884152688,without ULB
0.18799297752292665,0.038237439755156234,without ULB
0.19088913660539694,0.035975274684877434,without ULB
0.1911614250661421,0.03588612836388738,without ULB
0.19241558928366945,0.034798271943000995,without ULB
0.1927291335718001,0.034450106934981316,without ULB
0.19372752425413756,0.033780639215032625,without ULB
0.19476714183031815,0.033012420527489726,without ULB
0.1954602373476343,0.031180385927942388,without ULB
0.19588929795244456,0.030858522088820808,without ULB
0.196780423823974,0.030236297504278344,without ULB
0.19784482417052307,0.02778533277217545,without ULB
0.1986534383872811,0.02671550093469813,without ULB
0.19913199304995888,0.02586077450578609,without ULB
0.19970956237915136,0.025395066418671463,without ULB
0.20043566255837608,0.024444902747520016,without ULB
0.2009389765041936,0.023357555323038355,without ULB
0.2016320744042719,0.022601127499865155,without ULB
0.202622210517186,0.0212748026692386,without ULB
0.20326580142440176,0.02041104393767049,without ULB
0.20429718791838747,0.0186206379859105,without ULB
0.20458597496574596,0.018095989257676186,without ULB
0.20533682251429888,0.016558991988488394,without ULB
0.20716027562160488,0.015524760756324259,without ULB
0.20732529893114726,0.015143149956547312,without ULB
0.20786161549650567,0.0145013963428069,without ULB
0.21030394720234435,0.013336540549320064,without ULB
0.21343113891817425,0.011862381708807986,without ULB
0.21372818087535064,0.01154867925102825,without ULB
0.21585695263490626,0.008971274255589199,without ULB
0.21614574342660545,0.008414917976266811,without ULB
0.21641803188735065,0.00797504703203801,without ULB
0.21801875798991252,0.005797516289754912,without ULB
0.21818378129945515,0.005651125026025677,without ULB
0.21907490717098446,0.004776670245939229,without ULB
0.2200897715911283,0.0036384009192554608,without ULB
0.22141818812847916,0.0026461364203632237,without ULB
0.2223175651654855,0.002305543371017321,without ULB
0.22426484021808668,0.0014451443295892096,without ULB
0.2251229614277077,0.000298734591492153,without ULB
0.24789598241766495,0.0,without ULB
