error,unfairness
0.3288493394605969,0.22590576404105747
0.35425649972571205,0.06627105844111549
0.35444607318542776,0.056068454055170004
0.39087097673498383,0.05352365413112873
0.39105695297535015,0.04406441519056004
0.41248540877901374,0.04298866025239236
0.4191181416764841,0.03657188091165576
0.42215311564160907,0.03053980018022927
0.4242404021691233,0.028286761317020914
0.4251895284944738,0.026846716098795097
0.4301187981690153,0.026512805438232027
0.43106702518952855,0.025678746069108156
0.4358051026556472,0.025118854367048117
