error,unfairness
0.3288493394605969,0.1598912740174287
0.3459127494446792,0.12290022728234465
0.34837720442098263,0.1183623644584888
0.35824042015521995,0.08966993940866719
0.36336160148205443,0.08533925312344734
0.3669613388850419,0.0845924121557832
0.37094507945358246,0.06903469625179484
0.374360099642976,0.0646032031848818
0.3751187532037734,0.057753571791884305
0.3762561939620672,0.056998526053536704
0.3995857801919117,0.046866704350174745
0.39977121684937544,0.0346463935403872
0.4062167144797073,0.03002048700605129
0.4132375873449824,0.025456911047126496
0.4147541750227075,0.024578436221298846
