error,unfairness
0.3288493394605969,0.22590576404105747
0.3692401773429139,0.13000987450489754
0.3777778177468816,0.10362233201188013
0.38555104903909276,0.09098893771460412
0.4045172081980629,0.08598909117142965
0.4031885752313462,0.08703125911576762
0.41247983308902225,0.08143208491086276
0.4157011430164482,0.07149289351867408
0.4185478025486299,0.07032893805487155
0.4204440767286888,0.06844705139530147
0.4189269494680612,0.06967719087175883
0.4212027302894862,0.04788730203996015
0.4210131568297706,0.05157036587479289
0.42632193314567846,0.033098873902120136
0.4304943478690971,0.027418796253499595
0.42954648057051903,0.028107547483887108
0.43163376709803325,0.02585450862067875
0.43334118726224624,0.0249517178224337
