parameter,fold_id,accuracy,unfairness
0.95,0,0.8030068538580588,0.024673439767779387
0.95,1,0.8127349104576609,0.0076013321512196225
0.95,2,0.8131357806280407,0.021923688950285902
0.95,3,0.8166740380362671,0.01992858668782617
0.95,4,0.8118089340999558,0.01834812045769088
0.95,5,0.818000884564352,0.014932655365253844
0.95,6,0.8018575851393189,0.0018924433296520224
0.95,7,0.8076072534276869,0.014260448950078566
0.95,8,0.8197700132684653,0.01093404634581105
0.95,9,0.8069438301636445,0.014803443292565527
0.96,0,0.8030068538580588,0.024673439767779387
0.96,1,0.8127349104576609,0.0076013321512196225
0.96,2,0.8131357806280407,0.021923688950285902
0.96,3,0.8166740380362671,0.01992858668782617
0.96,4,0.8118089340999558,0.01834812045769088
0.96,5,0.818000884564352,0.014932655365253844
0.96,6,0.8018575851393189,0.0018924433296520224
0.96,7,0.8076072534276869,0.014260448950078566
0.96,8,0.8197700132684653,0.01093404634581105
0.96,9,0.8069438301636445,0.014803443292565527
0.97,0,0.8030068538580588,0.024673439767779387
0.97,1,0.8127349104576609,0.0076013321512196225
0.97,2,0.8131357806280407,0.021923688950285902
0.97,3,0.8166740380362671,0.01992858668782617
0.97,4,0.8118089340999558,0.01834812045769088
0.97,5,0.818000884564352,0.014932655365253844
0.97,6,0.8018575851393189,0.0018924433296520224
0.97,7,0.8076072534276869,0.014260448950078566
0.97,8,0.8197700132684653,0.01093404634581105
0.97,9,0.8069438301636445,0.014803443292565527
0.98,0,0.8030068538580588,0.024673439767779387
0.98,1,0.8127349104576609,0.0076013321512196225
0.98,2,0.8131357806280407,0.021923688950285902
0.98,3,0.8166740380362671,0.01992858668782617
0.98,4,0.8118089340999558,0.01834812045769088
0.98,5,0.818000884564352,0.014932655365253844
0.98,6,0.8018575851393189,0.0018924433296520224
0.98,7,0.8076072534276869,0.014260448950078566
0.98,8,0.8197700132684653,0.01093404634581105
0.98,9,0.8069438301636445,0.014803443292565527
0.99,0,0.8038912226398408,0.0019205113544736186
0.99,1,0.8160512933893433,0.004200268817204304
0.99,2,0.818000884564352,0.006327924178572052
0.99,3,0.8149049093321539,0.012207403790398877
0.99,4,0.8098186643078283,0.001994602708878095
0.99,5,0.8144626271561256,0.011062927923591481
0.99,6,0.8018575851393189,0.0018924433296520224
0.99,7,0.8034055727554179,0.01125043775666798
0.99,8,0.8202122954444936,0.0011711229946524057
0.99,9,0.8069438301636445,0.014803443292565527
