parameter,fold_id,accuracy,unfairness
0.1,0,0.8001326553172673,0.002331002331002331
0.1,1,0.8191465841255804,0.0014204545454545455
0.1,2,0.8199911543564794,0.0002812410746032023
0.1,3,0.8153471915081822,0.0013021230709758802
0.1,4,0.8053958425475454,0.0003255132301849382
0.1,5,0.8118089340999558,0.0006596623578936314
0.1,6,0.802078726227333,0.0006959549257810307
0.1,7,0.8056169836355594,0.001184776084265691
0.1,8,0.8188854489164087,0.00010338680926916212
0.1,9,0.8073861123396727,0.0006997092720884238
0.2,0,0.8001326553172673,0.002331002331002331
0.2,1,0.8191465841255804,0.0014204545454545455
0.2,2,0.8199911543564794,0.0002812410746032023
0.2,3,0.8153471915081822,0.0013021230709758802
0.2,4,0.8053958425475454,0.0003255132301849382
0.2,5,0.8118089340999558,0.0006596623578936314
0.2,6,0.802078726227333,0.0006959549257810307
0.2,7,0.8056169836355594,0.001184776084265691
0.2,8,0.8188854489164087,0.00010338680926916212
0.2,9,0.8073861123396727,0.0006997092720884238
0.3,0,0.8001326553172673,0.002331002331002331
0.3,1,0.8191465841255804,0.0014204545454545455
0.3,2,0.8199911543564794,0.0002812410746032023
0.3,3,0.8153471915081822,0.0013021230709758802
0.3,4,0.8053958425475454,0.0003255132301849382
0.3,5,0.8118089340999558,0.0006596623578936314
0.3,6,0.8056169836355594,0.0006959549257810307
0.3,7,0.8056169836355594,0.001184776084265691
0.3,8,0.8188854489164087,0.00010338680926916212
0.3,9,0.8073861123396727,0.0006997092720884238
0.4,0,0.7946053504311298,0.002331002331002331
0.4,1,0.8133981870439974,0.0014204545454545455
0.4,2,0.8137992038920832,0.0002812410746032023
0.4,3,0.8118089340999558,0.0013021230709758802
0.4,4,0.8000884564352057,0.0003255132301849382
0.4,5,0.8065015479876161,0.0006596623578936314
0.4,6,0.7983193277310925,0.0006959549257810307
0.4,7,0.8011941618752765,0.001184776084265691
0.4,8,0.8144626271561256,0.00010338680926916212
0.4,9,0.8011941618752765,0.0006997092720884238
0.5,0,0.7859827548087552,0.002331002331002331
0.5,1,0.8007959319036038,0.0004734848484848485
0.5,2,0.8034055727554179,0.0011089350143680674
0.5,3,0.8011941618752765,0.00035604927721996724
0.5,4,0.7890314020344981,0.0007930214115781126
0.5,5,0.7952233524988943,0.00029135999113157074
0.5,6,0.7850508624502432,0.00020815004773225016
0.5,7,0.790579389650597,0.0004847309743092584
0.5,8,0.8029632905793896,0.0010445632798573975
0.5,9,0.7894736842105263,0.0014584346135148275
