parameter,fold_id,accuracy,unfairness
0.95,0,0.8030068538580588,0.0530584192439863
0.95,1,0.8127349104576609,0.08259691292565097
0.95,2,0.8131357806280407,0.0011292570017235048
0.95,3,0.8166740380362671,0.026057276057276035
0.95,4,0.8118089340999558,0.0
0.95,5,0.818000884564352,0.026390705547434057
0.95,6,0.8018575851393189,0.035613195409397336
0.95,7,0.8076072534276869,0.012182334073525758
0.95,8,0.8197700132684653,0.02545968882602545
0.95,9,0.8069438301636445,0.016355367478962934
0.96,0,0.8030068538580588,0.0530584192439863
0.96,1,0.8127349104576609,0.08259691292565097
0.96,2,0.8131357806280407,0.0011292570017235048
0.96,3,0.8166740380362671,0.026057276057276035
0.96,4,0.8118089340999558,0.0
0.96,5,0.818000884564352,0.026390705547434057
0.96,6,0.8018575851393189,0.035613195409397336
0.96,7,0.8076072534276869,0.012182334073525758
0.96,8,0.8197700132684653,0.02545968882602545
0.96,9,0.8069438301636445,0.016355367478962934
0.97,0,0.8030068538580588,0.0530584192439863
0.97,1,0.8127349104576609,0.08259691292565097
0.97,2,0.8131357806280407,0.0011292570017235048
0.97,3,0.8166740380362671,0.026057276057276035
0.97,4,0.8118089340999558,0.0
0.97,5,0.818000884564352,0.026390705547434057
0.97,6,0.8018575851393189,0.035613195409397336
0.97,7,0.8076072534276869,0.012182334073525758
0.97,8,0.8197700132684653,0.02545968882602545
0.97,9,0.8069438301636445,0.016355367478962934
0.98,0,0.8030068538580588,0.0530584192439863
0.98,1,0.8127349104576609,0.08259691292565097
0.98,2,0.8131357806280407,0.0011292570017235048
0.98,3,0.8166740380362671,0.026057276057276035
0.98,4,0.8118089340999558,0.0
0.98,5,0.818000884564352,0.026390705547434057
0.98,6,0.8018575851393189,0.035613195409397336
0.98,7,0.8076072534276869,0.012182334073525758
0.98,8,0.8197700132684653,0.02545968882602545
0.98,9,0.8069438301636445,0.016355367478962934
0.99,0,0.8030068538580588,0.0530584192439863
0.99,1,0.8127349104576609,0.08259691292565097
0.99,2,0.818000884564352,0.009403871172247946
0.99,3,0.8149049093321539,0.022061272061272064
0.99,4,0.8098186643078283,0.015422668412629181
0.99,5,0.8144626271561256,0.03687389397553287
0.99,6,0.8018575851393189,0.035613195409397336
0.99,7,0.8034055727554179,0.03794719960523063
0.99,8,0.8197700132684653,0.02545968882602545
0.99,9,0.8069438301636445,0.016355367478962934
