parameter,fold_id,accuracy,unfairness
0.95,0,0.8001326553172673,0.040896501422133795
0.95,1,0.8191465841255804,0.05278031725362006
0.95,2,0.8199911543564794,0.05311021040239557
0.95,3,0.8153471915081822,0.044319127529283166
0.95,4,0.8053958425475454,0.03987769323757377
0.95,5,0.8118089340999558,0.05476981989939492
0.95,6,0.802078726227333,0.050444703698128354
0.95,7,0.8056169836355594,0.04620286518155404
0.95,8,0.8188854489164087,0.043258394114019605
0.95,9,0.8073861123396727,0.05345100605209447
0.96,0,0.7919522440857838,0.033753203518954306
0.96,1,0.8094185275259783,0.0437211521738161
0.96,2,0.8122512162759841,0.04548262975341123
0.96,3,0.8093763821318001,0.04144981181760592
0.96,4,0.7998673153471915,0.030034685186502007
0.96,5,0.8056169836355594,0.059987883849117324
0.96,6,0.7941176470588235,0.03512782879221235
0.96,7,0.796329057938965,0.04067127161220841
0.96,8,0.8111455108359134,0.03673067245057804
0.96,9,0.8000884564352057,0.04258144083470317
0.97,0,0.7937209816493478,0.033487288694269424
0.97,1,0.7965951801901393,0.021303576127044158
0.97,2,0.8062804068996019,0.03516556448363317
0.97,3,0.8082706766917294,0.04564199386388762
0.97,4,0.7930119416187528,0.03244131566680099
0.97,5,0.8005307386112339,0.045960628755069954
0.97,6,0.7868199911543565,0.03235235084550153
0.97,7,0.7870411322423706,0.025733493197802215
0.97,8,0.8040689960194605,0.02586678929125821
0.97,9,0.7985404688191066,0.03432785931761881
0.98,0,0.7879725845677648,0.015717608222672368
0.98,1,0.8007959319036038,0.0198082832003639
0.98,2,0.8042901371074745,0.01756698033452638
0.98,3,0.8029632905793896,0.014759586122945825
0.98,4,0.790358248562583,0.004933355456003541
0.98,5,0.7952233524988943,0.012146931972898366
0.98,6,0.7841662980981866,0.01391188719955843
0.98,7,0.790579389650597,0.01437498121061967
0.98,8,0.8040689960194605,0.00739203011036213
0.98,9,0.7901371074745688,0.018653236088428317
0.99,0,0.7815609108998453,0.005589316527871556
0.99,1,0.7950475348220207,0.0006276841020884175
0.99,2,0.7998673153471915,0.013385795665536833
0.99,3,0.796107916850951,0.011390313885749064
0.99,4,0.7812914639540026,0.008307062662463359
0.99,5,0.7872622733303848,0.006697340692244418
0.99,6,0.7786377708978328,0.002236063023734254
0.99,7,0.7843874391862008,0.0003505877318167455
0.99,8,0.7945599292348519,0.0026886150509281906
0.99,9,0.7806280406899602,0.001829548336073003
