parameter,fold_id,accuracy,unfairness
0.1,0,0.8001326553172673,0.0625
0.1,1,0.8191465841255804,0.012931034482758674
0.1,2,0.8199911543564794,0.03400000000000003
0.1,3,0.8153471915081822,0.01468354430379748
0.1,4,0.8053958425475454,0.020810107766629504
0.1,5,0.8118089340999558,0.01680672268907568
0.1,6,0.802078726227333,0.011942111122356103
0.1,7,0.8056169836355594,0.00645302417149729
0.1,8,0.8188854489164087,0.03099152964623808
0.1,9,0.8073861123396727,0.01270491803278695
0.2,0,0.8001326553172673,0.0625
0.2,1,0.8191465841255804,0.012931034482758674
0.2,2,0.8199911543564794,0.03400000000000003
0.2,3,0.8153471915081822,0.01468354430379748
0.2,4,0.8053958425475454,0.020810107766629504
0.2,5,0.8118089340999558,0.01680672268907568
0.2,6,0.802078726227333,0.011942111122356103
0.2,7,0.8056169836355594,0.00645302417149729
0.2,8,0.8188854489164087,0.03099152964623808
0.2,9,0.8073861123396727,0.01270491803278695
0.3,0,0.8001326553172673,0.0625
0.3,1,0.8191465841255804,0.012931034482758674
0.3,2,0.8199911543564794,0.03400000000000003
0.3,3,0.8153471915081822,0.01468354430379748
0.3,4,0.8053958425475454,0.020810107766629504
0.3,5,0.8118089340999558,0.01680672268907568
0.3,6,0.802078726227333,0.011942111122356103
0.3,7,0.8056169836355594,0.00645302417149729
0.3,8,0.8188854489164087,0.03099152964623808
0.3,9,0.8073861123396727,0.01270491803278695
0.4,0,0.8014592084899403,0.0625
0.4,1,0.8211364138845899,0.012552301255230103
0.4,2,0.8215391419725785,0.025703564727954986
0.4,3,0.818000884564352,0.010349088662341632
0.4,4,0.8065015479876161,0.016295231248502295
0.4,5,0.8124723573639983,0.012950859356088085
0.4,6,0.8045112781954887,0.011857332574464086
0.4,7,0.8069438301636445,0.0013608290589343097
0.4,8,0.8215391419725785,0.030657748049052413
0.4,9,0.8098186643078283,0.03585434173669477
0.5,0,0.7859827548087552,0.07894736842105265
0.5,1,0.8076497899624143,0.016304347826086918
0.5,2,0.8034055727554179,0.06108007448789565
0.5,3,0.8011941618752765,0.032076032076032046
0.5,4,0.7890314020344981,0.033333333333333326
0.5,5,0.7952233524988943,0.02838519764507985
0.5,6,0.7850508624502432,0.01757744517925519
0.5,7,0.7958867757629368,0.005169103529759189
0.5,8,0.8029632905793896,0.05077343039126481
0.5,9,0.7956656346749226,0.011563109501253832
