error,unfairness
0.3309341079345667,0.21103939533599606
0.3316922219124617,0.20245190282393102
0.33131253541012806,0.20574309847888989
0.3311227820894449,0.20626562031420015
0.3328318210023651,0.20119181492719998
0.33984729803861613,0.1996615561805127
0.3413651447431135,0.1951970628879319
0.342882631725676,0.1845090972714723
0.3428828115866436,0.17447495018677356
0.3453487054506865,0.16987493826255035
0.34553827891040234,0.16877541875064517
0.3466758995296637,0.16724941594300596
0.35293182370027976,0.15215209991499382
0.35710567731143816,0.14647351444039886
0.35957103159257886,0.1351797001819536
0.364880707213324,0.1245369042754827
0.3671555887299117,0.11354595568590545
