accuracy,unfairness,accuracy_test,unfairness_test,epsilon,strategy
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.0,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.1,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.3,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.4,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.5,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.6,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.7,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.8,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.9,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.95,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.951,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.9520000000000001,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.953,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.9540000000000001,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.955,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.956,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.9570000000000001,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.958,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.9590000000000001,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.96,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.961,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.9620000000000001,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.963,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.9640000000000001,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.965,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.966,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.9670000000000001,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.968,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.9690000000000001,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.97,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.971,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.972,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.973,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.9740000000000001,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.975,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.976,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.977,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.978,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.9790000000000001,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.98,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.981,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.982,BFS original
0.8223868531702381,0.005560656631534954,0.8223043155941274,0.019225767189317167,0.983,BFS original
0.8213637508600071,0.004974977582245766,0.8217101581424029,0.013147271230668145,0.9840000000000001,BFS original
0.8214627648457326,0.004974977582245766,0.8218091680433929,0.013147271230668145,0.985,BFS original
0.8219330812779286,0.004959980682728338,0.8223372208486733,0.013761573763345436,0.986,BFS original
0.8226426815089611,0.0043097474626974325,0.8217761647430628,0.01621633211974314,0.987,BFS original
0.821825816126726,0.0029342162974778764,0.8215451416407525,0.02182913461779153,0.988,BFS original
0.8208686809313797,0.003684117886991567,0.8201259997265613,0.024338529602117208,0.9890000000000001,BFS original
0.8214627648457326,0.003333370145569159,0.8214131284394325,0.019265376829032226,0.99,BFS original
0.8217020486445691,0.003375598151507719,0.8222052076473533,0.017105668748586992,0.991,BFS original
0.820959443751628,0.0035763407194693954,0.8204230294295316,0.020283583729780653,0.992,BFS original
0.8195484944550401,0.003952812802525263,0.8183438215087394,0.019629531880778383,0.993,BFS original
0.819226714999979,0.003771845790972739,0.8176504362765045,0.022585776712081614,0.9940000000000001,BFS original
0.8184593474199519,0.002725347093297281,0.8146139692365011,0.024497040092503086,0.995,BFS original
0.8174857190843058,0.002507340412236725,0.8154722184547222,0.029603385244102377,0.996,BFS original
0.8177827525316168,0.0019691965238446407,0.8166275954216976,0.02278449598368257,0.997,BFS original
0.8170484066332291,0.001073265549738922,0.8151091821510918,0.03023537478194065,0.998,BFS original
0.8171804426409883,0.0004969351076599571,0.8151419457839495,0.027485115742938125,0.9990000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,1.0,BFS original
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.0,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.1,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.3,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.4,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.5,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.6,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.7,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.8,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.95,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.951,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9520000000000001,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.953,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9540000000000001,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.955,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.956,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9570000000000001,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.958,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9590000000000001,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.96,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.961,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9620000000000001,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.963,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9640000000000001,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.965,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.966,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9670000000000001,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.968,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9690000000000001,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.97,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.971,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.972,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.973,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9740000000000001,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.975,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.976,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.977,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.978,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9790000000000001,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.98,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.981,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.982,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.983,Curious
0.8282451493426912,0.010181901046610677,0.8282450403812456,0.014370553414077404,0.9840000000000001,Curious
0.8279893632129003,0.00970686964963077,0.8280470205792654,0.015333635276035684,0.985,Curious
0.8279893632129003,0.00970686964963077,0.8280470205792654,0.015333635276035684,0.986,Curious
0.8279893632129003,0.00970686964963077,0.8280470205792654,0.015333635276035684,0.987,Curious
0.8277500892855076,0.009118766033362013,0.8277499473003911,0.01636322941732633,0.988,Curious
0.8273375310116513,0.008020594494419808,0.8277169440000609,0.01938065562153897,0.9890000000000001,Curious
0.8270734940567781,0.007348635173060214,0.8275189241980808,0.02049829698890684,0.99,Curious
0.8267682135287252,0.0071396935451373935,0.8273538804614906,0.020388078325213117,0.991,Curious
