accuracy,unfairness,accuracy_test,unfairness_test,epsilon,strategy
0.8223868531702381,0.24012398252650344,0.8223043155941274,0.2420745266470968,0.0,BFS original
0.8223868531702381,0.24012398252650344,0.8223043155941274,0.2420745266470968,0.1,BFS original
0.8223868531702381,0.24012398252650344,0.8223043155941274,0.2420745266470968,0.3,BFS original
0.8223868531702381,0.24012398252650344,0.8223043155941274,0.2420745266470968,0.4,BFS original
0.8223868531702381,0.24012398252650344,0.8223043155941274,0.2420745266470968,0.5,BFS original
0.8205633677254438,0.23650988270879275,0.8190696980244319,0.22466561221073145,0.6,BFS original
0.8164460783612913,0.1333076178449245,0.8141520701005568,0.10940434380080644,0.7,BFS original
0.8135664471393713,0.03038838366596115,0.8139540121696605,0.02872198260886198,0.8,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.95,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.951,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9520000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.953,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9540000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.955,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.956,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9570000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.958,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9590000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.96,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.961,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9620000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.963,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9640000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.965,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.966,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9670000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.968,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9690000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.97,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.971,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.972,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.973,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9740000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.975,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.976,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.977,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.978,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9790000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.98,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.981,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.982,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.983,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9840000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.985,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.986,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.987,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.988,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9890000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.99,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.991,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.992,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.993,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9940000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.995,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.996,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.997,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.998,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,0.9990000000000001,BFS original
0.752104017582335,0.0,0.7521038337535686,0.0,1.0,BFS original
0.8282451493426912,0.20789999420356367,0.8282450403812456,0.20655239102234235,0.0,Curious
0.8282451493426912,0.20789999420356367,0.8282450403812456,0.20655239102234235,0.1,Curious
0.8282451493426912,0.20789999420356367,0.8282450403812456,0.20655239102234235,0.3,Curious
0.8282451493426912,0.20789999420356367,0.8282450403812456,0.20655239102234235,0.4,Curious
0.8282451493426912,0.20789999420356367,0.8282450403812456,0.20655239102234235,0.5,Curious
0.8282451493426912,0.20789999420356367,0.8282450403812456,0.20655239102234235,0.6,Curious
0.8207531445314175,0.053075118452611834,0.8207529099171677,0.05241250462181109,0.7,Curious
0.8194329577146832,0.03672728668090737,0.819069741600336,0.04588509787330488,0.8,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.9,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.95,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.951,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.9520000000000001,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.953,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.9540000000000001,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.955,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.956,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.9570000000000001,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.958,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.9590000000000001,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.96,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.961,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.9620000000000001,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.963,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.9640000000000001,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.965,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.966,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.9670000000000001,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.968,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.9690000000000001,Curious
0.752104017582335,0.0,0.7521038337535686,0.0,0.97,Curious
