error,unfairness
0.17133404121797557,0.007904974659836977
0.1714248040382239,0.007126040275596211
0.1719198640954076,0.0066457983614573845
0.17214264522289524,0.006414811928711961
0.1726212002259675,0.0057724436956422525
0.17268721669807152,0.004514683735024548
0.1727037190290257,0.004447103844825276
0.17305851914454207,0.0035180109169811458
0.173314305274333,0.0031255596668431015
0.17338856576362693,0.0017899163576011138
0.17342157042553552,0.001666334537846217
0.17370211005175773,0.0013973142360254286
0.17453546380876794,0.0009233327030414476
0.1762598869318014,0.0006605738772438063
0.17680446998039456,0.0003928178906830499
0.24789598241766497,0.0
