error,unfairness
0.17552560196404965,0.25319652442379964
0.17885904660642227,0.19139145429976315
0.18191195877085953,0.09501281522666483
0.18319087818679147,0.04241515506872131
0.18321563168322275,0.03951003266372519
0.18327338984156272,0.038065520430279776
0.18338065499276524,0.037867841370106126
0.18338890615824233,0.037767933102775396
0.18339715732371942,0.03745739134283153
0.1835951852951705,0.03551402233749965
0.18363644112255617,0.03263835640214343
0.1838427151535651,0.03221869128635742
0.18399948491486806,0.028922081573974447
0.1840819965696392,0.028605420756715395
0.18416450822441044,0.026327171216752765
0.18472558747685475,0.02575252744120553
0.18520413533164015,0.024660779837161573
0.18526189348998012,0.02392716558638912
0.18583122390790174,0.023270574236459885
0.18681311157849545,0.02251808439967955
0.1887273254636821,0.020679259867660817
0.18892535343513317,0.01818542968957071
0.18956894434234872,0.01739292143319855
0.1904683213793552,0.016975491496040385
0.19229182350348561,0.015787889092426455
0.19360375881434844,0.013820427901687405
0.19431335904538083,0.013731730942329223
0.19654117372420432,0.01179715390882583
0.1967144481992239,0.01138593577126532
0.19708575064569445,0.011121643133189618
0.199206213713083,0.008775337729050658
0.20045213970012876,0.006976581989534348
0.20074918165730515,0.006485122273947907
0.20075743282278224,0.00583507283586
0.20106271675478127,0.004183098621799619
0.20154128435245444,0.004023097868947345
0.2023251450727812,0.0033592223354107498
0.2026056846990033,0.002725429835741866
0.20285321966331704,0.002077551408514644
0.20515529483143458,0.0011490387381744237
0.21508132537953661,0.00047338434337207413
0.24789598241766497,0.0
