error,unfairness
0.3284698328192307,0.2147884620419241
0.3362418050846695,0.19518108783028515
0.35862046637948863,0.1273564415125134
0.3908639621572524,0.08554097969996881
0.41058319918702835,0.0833249647997
0.41323938595465703,0.08296714260243473
0.41456532100686183,0.07571087555836928
0.41665062906373385,0.07245464460983066
0.4299301240141371,0.06297661223671461
0.4304975853665116,0.05920088747478851
0.42973875194474664,0.06452327839325162
0.4308792503394876,0.04430038753528219
0.4708952579655926,0.0
