error,unfairness
0.3284698328192307,0.22412372519687174
0.34155112098347984,0.195503934817501
0.37170822953856664,0.1172421341511096
0.4185478025486299,0.07032893805487155
0.42006492980925747,0.06811838659604844
0.4189269494680612,0.06967719087175883
0.4210131568297706,0.05157036587479289
0.424232308425587,0.049228714973119626
0.42442529924368466,0.03827679356441914
0.42632193314567846,0.033098873902120136
0.4304943478690971,0.027418796253499595
0.4293569071108033,0.029076852815066435
0.42954648057051903,0.028107547483887108
0.43163376709803325,0.02585450862067875
0.4708952579655926,0.0
