error,unfairness
0.3293664855334495,0.0806625240094276
0.3422625704508415,0.035643414431176135
0.3425470654721787,0.03559032614853608
0.34321075232491005,0.03503561386585578
0.34325816816179955,0.03477417936914717
0.3433529773582916,0.03450580988403566
0.3442063500358681,0.03138213913423935
0.3445382608940948,0.031233140262977098
0.3452020826105481,0.02728137721377182
0.34529691428432707,0.027169811693522505
0.3456288251425538,0.026714383741655044
0.34619781518522796,0.025363972056098017
0.34634006269589657,0.02486569342916607
0.34648231020656506,0.024571503227668056
0.34686163690168137,0.0239665383527937
0.3468616818562553,0.021993760329451283
0.34743069437621643,0.020181324073519136
0.3495167776651291,0.020066858764512686
0.34994356515170877,0.018934634887695468
0.3500383968254879,0.01820204690650351
0.3515079955643322,0.016506827593969688
0.3516502430750008,0.016136596670274915
0.352029569770117,0.015676176385617357
0.3528828300612584,0.014225374657140221
0.3531673700371696,0.012423009246701167
0.35397343926429137,0.011991446830065233
0.3570553675143189,0.009855567617711669
0.3574821100463246,0.009754808049287633
0.3593782939761657,0.008894121438281454
0.359710126163888,0.006868253652651046
0.36037386920983683,0.004273802263314063
0.3608006117418425,0.003960648612576589
0.3613694893980819,0.003124020562658103
0.3615117369087504,0.002746760509157564
0.36340816808874843,0.0018310466092539058
0.363645247273196,0.0015521940641609166
0.3641192820170128,0.0005981322408454171
0.3647356878965766,0.0003530153739224939
0.47088980049272455,0.0
