error,unfairness,dataset,strategy,metric
0.180055460494686,0.08764898006525244,Adult without sen. attr.,BFS original,SP
0.18088880676301464,0.06796019714156218,Adult without sen. attr.,BFS original,SP
0.186120006870525,0.049660050986791514,Adult without sen. attr.,BFS original,SP
0.18681310238784102,0.04876215744315302,Adult without sen. attr.,BFS original,SP
0.18772072922874616,0.047521953561115736,Adult without sen. attr.,BFS original,SP
0.18797651195459086,0.046281101563387925,Adult without sen. attr.,BFS original,SP
0.18838081770139148,0.045476651491722114,Adult without sen. attr.,BFS original,SP
0.18899139237328166,0.04447874026688568,Adult without sen. attr.,BFS original,SP
0.18938744593342136,0.04353203220194577,Adult without sen. attr.,BFS original,SP
0.190534347722903,0.04235938740279925,Adult without sen. attr.,BFS original,SP
0.19106241176120586,0.04142978150224077,Adult without sen. attr.,BFS original,SP
0.1915987351344567,0.04036667561853683,Adult without sen. attr.,BFS original,SP
0.1927538853662586,0.03965220352854881,Adult without sen. attr.,BFS original,SP
0.19322419873490304,0.038277306853131764,Adult without sen. attr.,BFS original,SP
0.19417307595687985,0.037496717648386815,Adult without sen. attr.,BFS original,SP
0.19532823912367706,0.03615955128464728,Adult without sen. attr.,BFS original,SP
0.19556751849738385,0.03513709433784727,Adult without sen. attr.,BFS original,SP
0.1959800754096616,0.034353714820254184,Adult without sen. attr.,BFS original,SP
0.19729198859487407,0.03347608893926311,Adult without sen. attr.,BFS original,SP
0.19857091175514685,0.03274568655016573,Adult without sen. attr.,BFS original,SP
0.1998168333170625,0.03165981045649286,Adult without sen. attr.,BFS original,SP
0.20008086891035734,0.02966762490773933,Adult without sen. attr.,BFS original,SP
0.20021289266391065,0.027966474224569368,Adult without sen. attr.,BFS original,SP
0.2007904572275784,0.027527169763514908,Adult without sen. attr.,BFS original,SP
0.20109574286155046,0.02702445498897649,Adult without sen. attr.,BFS original,SP
0.20169807317585586,0.026062836160530463,Adult without sen. attr.,BFS original,SP
0.20221789251617928,0.02520421436299546,Adult without sen. attr.,BFS original,SP
0.20298525090555172,0.02394567739830845,Adult without sen. attr.,BFS original,SP
0.2032327814447356,0.023576687652667138,Adult without sen. attr.,BFS original,SP
0.2047427164742961,0.02282280393252186,Adult without sen. attr.,BFS original,SP
0.20610415571446986,0.02142156562111781,Adult without sen. attr.,BFS original,SP
0.20692927056020927,0.020381021263151302,Adult without sen. attr.,BFS original,SP
0.20799367090675813,0.019658555532134424,Adult without sen. attr.,BFS original,SP
0.20918182443889025,0.018604342662621672,Adult without sen. attr.,BFS original,SP
0.2104029836541144,0.016438179876110685,Adult without sen. attr.,BFS original,SP
0.2109310582446503,0.016268837559808017,Adult without sen. attr.,BFS original,SP
0.21140137467684628,0.015251726829580916,Adult without sen. attr.,BFS original,SP
0.2118469284219564,0.014247181982021325,Adult without sen. attr.,BFS original,SP
0.21248225488830494,0.013394679044804306,Adult without sen. attr.,BFS original,SP
0.21338988309078852,0.01218479019606759,Adult without sen. attr.,BFS original,SP
0.21372818087535064,0.01154867925102825,Adult without sen. attr.,BFS original,SP
0.21516387481811014,0.010361407418949337,Adult without sen. attr.,BFS original,SP
0.21585695263490626,0.00783247189995132,Adult without sen. attr.,BFS original,SP
0.21700386463622634,0.00696776686735405,Adult without sen. attr.,BFS original,SP
0.217507185730331,0.0064463393902151,Adult without sen. attr.,BFS original,SP
0.21862109306974264,0.005442585755226587,Adult without sen. attr.,BFS original,SP
0.21988349245420025,0.003954879521289709,Adult without sen. attr.,BFS original,SP
0.2211541508332111,0.0026076879997075308,Adult without sen. attr.,BFS original,SP
0.2220617790356948,0.0019670141003575643,Adult without sen. attr.,BFS original,SP
0.2225898536262305,0.001151627255710275,Adult without sen. attr.,BFS original,SP
0.22314268171319795,0.0005466802312740244,Adult without sen. attr.,BFS original,SP
0.24789598241766495,0.0,Adult without sen. attr.,BFS original,SP
0.1712185296668205,0.07489677260185867,Adult without sen. attr.,Curious,SP
0.1861117557050479,0.049713785056252825,Adult without sen. attr.,Curious,SP
0.18734117697837704,0.04869207342366433,Adult without sen. attr.,Curious,SP
0.1882735573157135,0.04750625084062599,Adult without sen. attr.,Curious,SP
0.18940394486042944,0.046579776087205614,Adult without sen. attr.,Curious,SP
0.1904353391834913,0.04569949217015222,Adult without sen. attr.,Curious,SP
0.1906828755093836,0.04476534221848767,Adult without sen. attr.,Curious,SP
0.19287768144156286,0.042740010054604906,Adult without sen. attr.,Curious,SP
0.1946763854775675,0.04158006186468406,Adult without sen. attr.,Curious,SP
0.19513019957880928,0.04115844799149095,Adult without sen. attr.,Curious,SP
0.1958397977674743,0.04048603903626703,Adult without sen. attr.,Curious,SP
0.19658238223673846,0.03861420303710698,Adult without sen. attr.,Curious,SP
0.19696193584868613,0.03796230553245339,Adult without sen. attr.,Curious,SP
0.19716821498561432,0.03744538497079596,Adult without sen. attr.,Curious,SP
0.19905773187987566,0.03603700062101752,Adult without sen. attr.,Curious,SP
0.1996683181251827,0.035583270937779014,Adult without sen. attr.,Curious,SP
0.20036140309026573,0.034538254454429214,Adult without sen. attr.,Curious,SP
0.20168157901437234,0.033470716370738875,Adult without sen. attr.,Curious,SP
0.20344732604371465,0.03261083366505986,Adult without sen. attr.,Curious,SP
0.20460246572328344,0.03148590560811125,Adult without sen. attr.,Curious,SP
0.2056998707317409,0.030501069063083093,Adult without sen. attr.,Curious,SP
0.2059721625964321,0.029698489485100968,Adult without sen. attr.,Curious,SP
0.2061536882369288,0.028689525594200238,Adult without sen. attr.,Curious,SP
0.20968518467837535,0.027682635608490776,Adult without sen. attr.,Curious,SP
0.21502355905172602,0.02662719102501086,Adult without sen. attr.,Curious,SP
0.2168635662299676,0.025713710827031326,Adult without sen. attr.,Curious,SP
0.21739165681905048,0.024813277161652453,Adult without sen. attr.,Curious,SP
0.21932238665097592,0.02372851120585575,Adult without sen. attr.,Curious,SP
0.2202135142244782,0.022283514026527357,Adult without sen. attr.,Curious,SP
0.22109637259158896,0.02133639973597655,Adult without sen. attr.,Curious,SP
0.22232579624768034,0.020498543716765887,Adult without sen. attr.,Curious,SP
0.2239017831503848,0.019407750054617624,Adult without sen. attr.,Curious,SP
0.22490839129913245,0.018602862169737656,Adult without sen. attr.,Curious,SP
0.2256675060117093,0.012545716560708287,Adult without sen. attr.,Curious,SP
0.22585728281768316,0.011963519726115751,Adult without sen. attr.,Curious,SP
0.2264018529312809,0.011287348068900709,Adult without sen. attr.,Curious,SP
0.2266411200507814,0.01021076590979161,Adult without sen. attr.,Curious,SP
0.2267978908332683,0.009615931829716751,Adult without sen. attr.,Curious,SP
0.22900090367962497,0.007282780627772378,Adult without sen. attr.,Curious,SP
0.2307418995952981,0.00656271589314211,Adult without sen. attr.,Curious,SP
0.23111320204176866,0.004761412393842579,Adult without sen. attr.,Curious,SP
0.23143499749537644,0.004232786888034759,Adult without sen. attr.,Curious,SP
0.23262316532408225,0.0034716292447159514,Adult without sen. attr.,Curious,SP
0.23407537044805596,0.0031239187431678665,Adult without sen. attr.,Curious,SP
0.23622067347210815,0.0021719050432714355,Adult without sen. attr.,Curious,SP
0.23778838606250166,0.0013172420195695425,Adult without sen. attr.,Curious,SP
0.2406185266305003,0.00034997426292319447,Adult without sen. attr.,Curious,SP
0.24789598241766495,0.0,Adult without sen. attr.,Curious,SP
0.1774233611735282,0.0642816820989549,Adult without sen. attr.,Lower bound,SP
0.18569094388295213,0.04865149172026227,Adult without sen. attr.,Lower bound,SP
0.18663158355523668,0.04678176808057392,Adult without sen. attr.,Lower bound,SP
0.1878774966072868,0.045474965671934944,Adult without sen. attr.,Lower bound,SP
0.18915641568282412,0.04455639966067445,Adult without sen. attr.,Lower bound,SP
0.1900805448546835,0.043704800753869774,Adult without sen. attr.,Lower bound,SP
0.19137595570894209,0.04274080190136872,Adult without sen. attr.,Lower bound,SP
0.19238259585478332,0.041399286905451964,Adult without sen. attr.,Lower bound,SP
0.19307569375486167,0.04046431907642471,Adult without sen. attr.,Lower bound,SP
0.19395030436044147,0.039693465641070014,Adult without sen. attr.,Lower bound,SP
0.194849674249161,0.038596174007322036,Adult without sen. attr.,Lower bound,SP
0.19598832929829546,0.037742382234483215,Adult without sen. attr.,Lower bound,SP
0.197159963820137,0.036555169485323634,Adult without sen. attr.,Lower bound,SP
0.19772104307258154,0.035473024127637615,Adult without sen. attr.,Lower bound,SP
0.19862040717459276,0.03490329728848205,Adult without sen. attr.,Lower bound,SP
0.19980856445106546,0.0335033825484836,Adult without sen. attr.,Lower bound,SP
0.2003943948171788,0.03284970943461003,Adult without sen. attr.,Lower bound,SP
0.20183010033335536,0.031518005274977084,Adult without sen. attr.,Lower bound,SP
0.20322452108860367,0.030691187267201055,Adult without sen. attr.,Lower bound,SP
0.2047509809151632,0.029741066091282926,Adult without sen. attr.,Lower bound,SP
0.20649198295793936,0.028803842635360462,Adult without sen. attr.,Lower bound,SP
0.20786165498228115,0.027646492256771647,Adult without sen. attr.,Lower bound,SP
0.20941286626290426,0.026568694690851814,Adult without sen. attr.,Lower bound,SP
0.21036999601193676,0.025446727252783213,Adult without sen. attr.,Lower bound,SP
0.2120119711339921,0.024583159928797112,Adult without sen. attr.,Lower bound,SP
0.21620348354403074,0.02338844586136709,Adult without sen. attr.,Lower bound,SP
0.21713586796610265,0.0222337872161893,Adult without sen. attr.,Lower bound,SP
0.21801872258887267,0.02183206536419466,Adult without sen. attr.,Lower bound,SP
0.2200072391722856,0.02054109205965383,Adult without sen. attr.,Lower bound,SP
0.22105513140117186,0.019581952787479918,Adult without sen. attr.,Lower bound,SP
0.2216657166252951,0.01844025674917184,Adult without sen. attr.,Lower bound,SP
0.22288688911590948,0.017712680508580936,Adult without sen. attr.,Lower bound,SP
0.22473512669555676,0.016617218668904598,Adult without sen. attr.,Lower bound,SP
0.2259232945242624,0.015584405175153353,Adult without sen. attr.,Lower bound,SP
0.22677314788907,0.014433516592850103,Adult without sen. attr.,Lower bound,SP
0.2274332319365853,0.013269422191179246,Adult without sen. attr.,Lower bound,SP
0.2283408563947281,0.011216945511129582,Adult without sen. attr.,Lower bound,SP
0.228819427736742,0.010160187413954469,Adult without sen. attr.,Lower bound,SP
0.2291577153094657,0.008122449617127478,Adult without sen. attr.,Lower bound,SP
0.23023036682149176,0.007602627052535464,Adult without sen. attr.,Lower bound,SP
0.2307666912159262,0.006665919122606211,Adult without sen. attr.,Lower bound,SP
0.23197130929521026,0.005559716991197764,Adult without sen. attr.,Lower bound,SP
0.23302747243246125,0.003887382512752022,Adult without sen. attr.,Lower bound,SP
0.2338195843182652,0.0034536242764726557,Adult without sen. attr.,Lower bound,SP
0.2347272125207488,0.0017540129251113455,Adult without sen. attr.,Lower bound,SP
0.2353790457431816,0.0013284620341485036,Adult without sen. attr.,Lower bound,SP
0.23590711114306284,0.0006909994108336342,Adult without sen. attr.,Lower bound,SP
0.24789598241766495,0.0,Adult without sen. attr.,Lower bound,SP
0.17666425429002752,0.08213083899384846,Adult without sen. attr.,BFS objective-aware,SP
0.18560843461094326,0.049678869531086765,Adult without sen. attr.,BFS objective-aware,SP
0.1860622463294227,0.048270014614338164,Adult without sen. attr.,BFS objective-aware,SP
0.1862437787778116,0.046549181749144505,Adult without sen. attr.,BFS objective-aware,SP
0.1871761475417312,0.04566541443339854,Adult without sen. attr.,BFS objective-aware,SP
0.1884715689482228,0.0446233439362405,Adult without sen. attr.,BFS objective-aware,SP
0.18857058735907814,0.043803328801497,Adult without sen. attr.,BFS objective-aware,SP
0.18901614314655613,0.042392159247740584,Adult without sen. attr.,BFS objective-aware,SP
0.190171297803488,0.041587725605609416,Adult without sen. attr.,BFS objective-aware,SP
0.19074061392483568,0.04072546658719115,Adult without sen. attr.,BFS objective-aware,SP
0.19267962487696444,0.03940748080871921,Adult without sen. attr.,BFS objective-aware,SP
0.1935459914653539,0.03852839828583933,Adult without sen. attr.,BFS objective-aware,SP
0.1941235689640172,0.037319607334950565,Adult without sen. attr.,BFS objective-aware,SP
0.19442061092119367,0.03637308136155589,Adult without sen. attr.,BFS objective-aware,SP
0.19500643788336086,0.034983001450283616,Adult without sen. attr.,BFS objective-aware,SP
0.1959800754096616,0.034353714820254184,Adult without sen. attr.,BFS objective-aware,SP
0.19773754778629812,0.03352984323370454,Adult without sen. attr.,BFS objective-aware,SP
0.19875243739564366,0.032636826692911104,Adult without sen. attr.,BFS objective-aware,SP
0.19983333564801664,0.03151813366249266,Adult without sen. attr.,BFS objective-aware,SP
0.20008086891035734,0.02966762490773933,Adult without sen. attr.,BFS objective-aware,SP
0.20068318969361354,0.027830592709905948,Adult without sen. attr.,BFS objective-aware,SP
0.2007904572275784,0.027527169763514908,Adult without sen. attr.,BFS objective-aware,SP
0.20109574286155046,0.02702445498897649,Adult without sen. attr.,BFS objective-aware,SP
0.20169807317585586,0.026062836160530463,Adult without sen. attr.,BFS objective-aware,SP
0.20221789251617928,0.02520421436299546,Adult without sen. attr.,BFS objective-aware,SP
0.20298525090555172,0.02394567739830845,Adult without sen. attr.,BFS objective-aware,SP
0.2032327814447356,0.023576687652667138,Adult without sen. attr.,BFS objective-aware,SP
0.20470971317396613,0.022636726843462008,Adult without sen. attr.,BFS objective-aware,SP
0.20599689498839724,0.02141559714576855,Adult without sen. attr.,BFS objective-aware,SP
0.20689626589830068,0.020429870258693836,Adult without sen. attr.,BFS objective-aware,SP
0.20799367090675813,0.019658555532134424,Adult without sen. attr.,BFS objective-aware,SP
0.20918182443889025,0.018604342662621672,Adult without sen. attr.,BFS objective-aware,SP
0.2104029836541144,0.016438179876110685,Adult without sen. attr.,BFS objective-aware,SP
0.21098056523751307,0.015863602770469238,Adult without sen. attr.,BFS objective-aware,SP
0.21133536535302944,0.01537199823732811,Adult without sen. attr.,BFS objective-aware,SP
0.2118469284219564,0.014247181982021325,Adult without sen. attr.,BFS objective-aware,SP
0.21248225488830494,0.013394679044804306,Adult without sen. attr.,BFS objective-aware,SP
0.21343113891817425,0.011862381708807986,Adult without sen. attr.,BFS objective-aware,SP
0.21372818087535064,0.01154867925102825,Adult without sen. attr.,BFS objective-aware,SP
0.21585695263490626,0.00783247189995132,Adult without sen. attr.,BFS objective-aware,SP
0.2170781251255205,0.006761127911712272,Adult without sen. attr.,BFS objective-aware,SP
0.2174741810684224,0.0065414152014475644,Adult without sen. attr.,BFS objective-aware,SP
0.2185220790840171,0.00569949315275757,Adult without sen. attr.,BFS objective-aware,SP
0.21988349245420025,0.003954879521289709,Adult without sen. attr.,BFS objective-aware,SP
0.22048580642956409,0.00258494065511018,Adult without sen. attr.,BFS objective-aware,SP
0.22193801155353787,0.0022881950146737442,Adult without sen. attr.,BFS objective-aware,SP
0.2230354165619952,0.0011775953324260427,Adult without sen. attr.,BFS objective-aware,SP
0.2236625051382567,0.000504929758787484,Adult without sen. attr.,BFS objective-aware,SP
0.24789598241766495,0.0,Adult without sen. attr.,BFS objective-aware,SP
0.3273281102861573,0.22419712882734472,COMPAS  without sen. attr.,BFS original,SP
0.3344396653986105,0.1924421166461563,COMPAS  without sen. attr.,BFS original,SP
0.3732693472404803,0.09918637662063877,COMPAS  without sen. attr.,BFS original,SP
0.401147487977742,0.04778361749777353,COMPAS  without sen. attr.,BFS original,SP
0.4014319829990792,0.047278574752211436,COMPAS  without sen. attr.,BFS original,SP
0.4027122105950963,0.045246167165906084,COMPAS  without sen. attr.,BFS original,SP
0.4036603924691649,0.04485907403638358,COMPAS  without sen. attr.,BFS original,SP
0.4047033161078645,0.0439203222476533,COMPAS  without sen. attr.,BFS original,SP
0.4047983275999394,0.042165562416772384,COMPAS  without sen. attr.,BFS original,SP
0.4061731171422915,0.04124081239947658,COMPAS  without sen. attr.,BFS original,SP
0.4073583557235209,0.04012665037552808,COMPAS  without sen. attr.,BFS original,SP
0.4078799299293056,0.03906849452557106,COMPAS  without sen. attr.,BFS original,SP
0.4084489199719799,0.03778241263268348,COMPAS  without sen. attr.,BFS original,SP
0.4093970681301179,0.03754008470704977,COMPAS  without sen. attr.,BFS original,SP
0.4100608561306407,0.036550119843211874,COMPAS  without sen. attr.,BFS original,SP
0.4107718239565397,0.03481706137579312,COMPAS  without sen. attr.,BFS original,SP
0.4111037910079838,0.03338275604622819,COMPAS  without sen. attr.,BFS original,SP
0.41129345435554204,0.032817904331541685,COMPAS  without sen. attr.,BFS original,SP
