error,unfairness
0.17552560196404965,0.0061166553891493615
0.1755833601223895,0.005624062001166427
0.17567411919829712,0.005559479054739116
0.17625168648512202,0.005272315650808731
0.17627643896036937,0.005102719067852165
0.17632594595323214,0.004017452815030896
0.17638370172880968,0.0036649309769701877
0.17673850184432605,0.0033814331381851748
0.17710980020606115,0.00241326782209613
0.17746460032157751,0.0023963312850238125
0.1778936585436256,0.0015270317768106684
0.17795966786744266,0.001282675937731175
0.17824020715327027,0.0008464703539096195
0.178413474480003,0.000716708051653428
0.18104557516273923,0.0003349182305932478
0.24789598241766497,0.0
