accuracy_train,unfairness_train,accuracy,unfairness,epsilon,strategy
0.6723400575261206,0.07361984386960067,0.6709609072187199,0.07694519178765771,0.0,BFS original
0.6723400575261206,0.07361984386960067,0.6709609072187199,0.07694519178765771,0.1,BFS original
0.6723400575261206,0.07361984386960067,0.6709609072187199,0.07694519178765771,0.3,BFS original
0.6723400575261206,0.07361984386960067,0.6709609072187199,0.07694519178765771,0.4,BFS original
0.6723400575261206,0.07361984386960067,0.6709609072187199,0.07694519178765771,0.5,BFS original
0.6723400575261206,0.07361984386960067,0.6709609072187199,0.07694519178765771,0.6,BFS original
0.6723400575261206,0.07361984386960067,0.6709609072187199,0.07694519178765771,0.7,BFS original
0.6723400575261206,0.07361984386960067,0.6709609072187199,0.07694519178765771,0.8,BFS original
0.5808882933906324,0.029985156000893357,0.5749815192855923,0.04867279378583052,0.9,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.95,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.951,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9520000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.953,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9540000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.955,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.956,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9570000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.958,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9590000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.96,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.961,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9620000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.963,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9640000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.965,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.966,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9670000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.968,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9690000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.97,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.971,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.972,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.973,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9740000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.975,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.976,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.977,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.978,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9790000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.98,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.981,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.982,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.983,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9840000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.985,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.986,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.987,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.988,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9890000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.99,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.991,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.992,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.993,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9940000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.995,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.996,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.997,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.998,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9990000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,1.0,BFS original
0.6660346727885805,0.06864899665143767,0.6637556768617858,0.07794620634066038,0.0,Curious
0.6660346727885805,0.06864899665143767,0.6637556768617858,0.07794620634066038,0.1,Curious
0.6660346727885805,0.06864899665143767,0.6637556768617858,0.07794620634066038,0.3,Curious
0.6660346727885805,0.06864899665143767,0.6637556768617858,0.07794620634066038,0.4,Curious
0.6660346727885805,0.06864899665143767,0.6637556768617858,0.07794620634066038,0.5,Curious
0.6660346727885805,0.06864899665143767,0.6637556768617858,0.07794620634066038,0.6,Curious
0.6660346727885805,0.06864899665143767,0.6637556768617858,0.07794620634066038,0.7,Curious
0.6660346727885805,0.06864899665143767,0.6637556768617858,0.07794620634066038,0.8,Curious
0.5519172170511351,0.0015192620727075392,0.5526118510391467,0.0279343618819168,0.9,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.95,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.951,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9520000000000001,Curious
