accuracy_train,unfairness_train,accuracy,unfairness,epsilon,strategy
0.6723400575261206,0.1851779630881593,0.6709609072187199,0.1888065287984341,0.0,BFS original
0.6723400575261206,0.1851779630881593,0.6709609072187199,0.1888065287984341,0.1,BFS original
0.6723400575261206,0.1851779630881593,0.6709609072187199,0.1888065287984341,0.3,BFS original
0.6723400575261206,0.1851779630881593,0.6709609072187199,0.1888065287984341,0.4,BFS original
0.6723400575261206,0.1851779630881593,0.6709609072187199,0.1888065287984341,0.5,BFS original
0.6723400575261206,0.1851779630881593,0.6709609072187199,0.1888065287984341,0.6,BFS original
0.6636638359895305,0.1491301555532986,0.6559844240402171,0.16360123789021305,0.7,BFS original
0.6444623663345985,0.09817789832627012,0.6362581724327095,0.11205732006210464,0.8,BFS original
0.6098992669145237,0.043684783223805236,0.593969621482594,0.07812633389943388,0.9,BFS original
0.589512524962432,0.023373763687081828,0.581643389659793,0.055018754846707874,0.95,BFS original
0.5888961190828683,0.02286462260824564,0.5820225365792242,0.040706000422048465,0.951,BFS original
0.5885642981337895,0.01964313156785951,0.5863861435110659,0.049634664787187456,0.9520000000000001,BFS original
0.5882323872755629,0.020649813665040283,0.5903671861650943,0.03838220479134029,0.953,BFS original
0.5877109029789261,0.02125311032637092,0.5776585699254476,0.044242941365438264,0.9540000000000001,BFS original
0.5878531504895946,0.021202719869137597,0.5827770533377701,0.04112503046520044,0.955,BFS original
0.5873789584047691,0.020856187286158262,0.5753836884088599,0.055677234242324805,0.956,BFS original
0.5871893175344979,0.019871161330533002,0.5780378967058464,0.04915443914446571,0.9570000000000001,BFS original
0.5874737001694,0.0192497279645508,0.580123384623686,0.04304405567963062,0.958,BFS original
0.5870943847129274,0.017410698521022963,0.5823993453060783,0.04253164796002736,0.9590000000000001,BFS original
0.5883272414266288,0.018208517343041325,0.586194951302643,0.04199505127862453,0.96,BFS original
0.5868101706576776,0.017677270313488775,0.5799338111639702,0.04364166150436437,0.961,BFS original
0.5868101706576776,0.017677270313488775,0.5799338111639702,0.04364166150436437,0.9620000000000001,BFS original
0.587568644229614,0.017358683499195372,0.5763284980709911,0.04155881147773475,0.963,BFS original
0.5869046988880824,0.016677361573157634,0.5784165040423752,0.04362648102800295,0.9640000000000001,BFS original
0.5843919404990251,0.01533364553666444,0.5770903891292032,0.05232513557192429,0.965,BFS original
0.5843920304081729,0.015268997916182503,0.5861951311636104,0.05371695707094254,0.966,BFS original
0.5827801504427296,0.013150860216377245,0.5763297570977634,0.05183543340130898,0.9670000000000001,BFS original
0.5833963090721366,0.012847483817151482,0.5753845877136973,0.042257038527873665,0.968,BFS original
0.584107445477688,0.012655902329012005,0.5725386476253855,0.043689810123413365,0.9690000000000001,BFS original
0.5851031780523679,0.012223719538173538,0.573865661843395,0.03839289982572032,0.97,BFS original
0.5835386802078835,0.012247606405430685,0.5763308362635683,0.045255910288591716,0.971,BFS original
